,delta_entropy_ast_edge_file_context
7,2.300773462977415
8,-2.2383121072778915
13,5.176035266042184
14,-3.4966350293900974
15,-1.2857077550607872
17,-1.263631747595876
18,2.0339112383617697
21,1.7975110677132782
28,-1.7663677520080625
33,1.2772539145216233
34,-2.129230702353771
38,5.154896622042793
39,-5.013539107118095
41,1.503455238629263
70,1.516484338211707
77,1.825641168238143
78,-2.2828631478797137
82,1.4552829085279206
86,1.8179678124431855
104,1.8146422758800898
113,-1.19867718330942
116,2.3402883994700043
117,-2.172321549040019
131,1.6104648733210651
132,-1.9566772422230816
144,4.508727754088122
145,-4.695254162959177
162,-1.2826298259999238
165,4.727792776955345
166,-4.168790150626947
169,2.3955943004209477
170,-2.865704851681236
184,1.8592789111479404
187,-1.705185003528497
196,1.3044329166217876
207,-1.3210092595757286
222,-1.6226639622492662
301,-1.5891841585171775
322,2.1867676486137646
323,-1.9305887803578599
333,1.531374005330238
334,-1.4738353296222915
368,1.7931172478204545
369,-1.7126194079431714
377,-1.4906265988962066
441,1.925016315969157
442,-1.9658382692798537
460,1.6833545052162848
461,-1.4082097912409715
462,1.393214939934492
463,-1.7282703485797108
468,2.206087919654564
469,-2.4556166044790797
472,2.296828757946789
473,2.949464302779406
474,-5.407120165676461
479,4.96871036358988
480,-5.184303806540223
515,1.6569212197040564
516,3.595924705135788
517,-4.9728002367335575
530,5.149442297189473
531,-5.2908249451706
540,1.676775337073984
541,-1.4994993912446277
558,-1.5649965244569715
560,1.31083072060324
561,-1.5087070300101817
562,1.444737111347062
563,-1.4447371113470624
566,1.3227918115134871
572,1.4448100385926743
573,-1.3768343254678823
579,1.5559459147151031
581,-1.3582447563363946
583,1.2404972944181978
584,-1.361169977456231
597,-1.2117048211272639
604,1.3682771551110706
605,-1.8498876753236422
606,1.8114294761219472
608,-1.47249773871351
627,1.208300867427413
628,-1.217830447990904
629,1.844672593484614
630,-1.4893231429106484
650,1.2819337572775886
660,-1.4595680406486382
668,1.4518769920657872
669,-1.2765219874677989
696,1.303726909897518
710,1.416101640318106
732,1.265600683693617
734,-1.4386354442613989
760,1.3061125102217912
773,1.32694795133667
774,-1.3665025564716955
780,-1.270221924631854
802,1.6460860433574798
803,-1.6535352588109928
826,-1.2028939861682104
849,-1.2500970110360161
861,5.216912789082128
862,-5.076917772127321
869,1.7402684011435157
870,-1.2700707950636458
886,5.132453155759704
887,-4.612471829402212
889,-1.3397369744434218
894,1.8549401534911647
delta_entropy_ast_edge_file_normalised,"13     0.931848
14    -0.874159
28     0.164960
38     0.800084
39    -0.848761
63    -0.161098
113   -0.188639
144    0.893810
145   -0.860026
165    0.803685
166   -0.773098
182   -0.164475
195    0.158683
207    0.179623
229   -0.180051
230    0.167412
468    0.165969
473    0.754939
474   -0.894568
479    0.802722
480   -0.827267
516    0.732832
517   -0.828800
530    0.762328
531   -0.821181
541   -0.155547
630    0.181298
647    0.166517
666    0.169065
709   -0.170489
861    0.840157
862   -0.769240
868   -0.168547
886    0.794567
887   -0.787383
Name: delta_entropy_ast_edge_file_normalised, dtype: float64"
