,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,138.0
delta_entropy_ast_edge_file_normalised,55.0
delta_entropy_token_file_context,62.0
delta_entropy_token_file_normalised,52.0
delta_entropy_token_no_keywords_file_context,68.0
delta_entropy_token_no_keywords_file_normalised,52.0
delta_entropy_token_no_keywords_no_numbers_file_context,67.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,52.0
number_of_commits,0.0
commit_count,2324.0
delta_entropy_ast_edge_file_context_ratio,0.05938037865748709
delta_entropy_ast_edge_file_normalised_ratio,0.023666092943201378
delta_entropy_token_file_context_ratio,0.02667814113597246
delta_entropy_token_file_normalised_ratio,0.022375215146299483
delta_entropy_token_no_keywords_file_context_ratio,0.029259896729776247
delta_entropy_token_no_keywords_file_normalised_ratio,0.022375215146299483
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.02882960413080895
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.022375215146299483
