,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,293.0
delta_entropy_ast_edge_file_normalised,170.0
delta_entropy_token_file_context,176.0
delta_entropy_token_file_normalised,144.0
delta_entropy_token_no_keywords_file_context,186.0
delta_entropy_token_no_keywords_file_normalised,154.0
delta_entropy_token_no_keywords_no_numbers_file_context,183.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,160.0
number_of_commits,0.0
commit_count,2324.0
delta_entropy_ast_edge_file_context_ratio,0.12607573149741824
delta_entropy_ast_edge_file_normalised_ratio,0.07314974182444062
delta_entropy_token_file_context_ratio,0.0757314974182444
delta_entropy_token_file_normalised_ratio,0.06196213425129088
delta_entropy_token_no_keywords_file_context_ratio,0.08003442340791739
delta_entropy_token_no_keywords_file_normalised_ratio,0.06626506024096386
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.07874354561101549
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.06884681583476764
