,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,117.0
delta_entropy_ast_edge_file_normalised,108.0
delta_entropy_token_file_context,117.0
delta_entropy_token_file_normalised,108.0
delta_entropy_token_no_keywords_file_context,119.0
delta_entropy_token_no_keywords_file_normalised,108.0
delta_entropy_token_no_keywords_no_numbers_file_context,117.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,108.0
number_of_commits,0.0
commit_count,2690.0
delta_entropy_ast_edge_file_context_ratio,0.043494423791821564
delta_entropy_ast_edge_file_normalised_ratio,0.04014869888475837
delta_entropy_token_file_context_ratio,0.043494423791821564
delta_entropy_token_file_normalised_ratio,0.04014869888475837
delta_entropy_token_no_keywords_file_context_ratio,0.04423791821561338
delta_entropy_token_no_keywords_file_normalised_ratio,0.04014869888475837
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.043494423791821564
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.04014869888475837
