,delta_entropy_ast_edge_file_context
49,1.4842876541867955
50,-1.8100533216131867
56,2.368225875891479
57,-2.3682258758914796
67,-2.2270594110789825
108,5.4481681458919615
109,-5.333905096937966
134,1.7708831293249925
135,-1.5981886789465203
153,1.831371793145292
154,-1.8404701640479852
160,1.88680404815246
162,-1.582427794563963
163,2.043211347309407
164,-1.9159757774831416
165,5.597856580286544
166,-3.971981084053355
168,-1.862327318174073
180,2.3014254041383317
181,-1.9740804618505057
192,1.5492045026478296
239,4.6747190902467
241,-3.671883927175964
243,4.112845072205911
244,-4.08196737329096
245,4.08196737329096
246,-4.086537713217541
247,4.086537713217541
249,-3.671883927175964
251,4.112845072205911
252,-4.08196737329096
253,4.08196737329096
254,-4.086537713217541
261,-1.7336872957233314
271,1.5013228319332685
281,-1.7428507019905948
293,1.9719149211237037
307,1.4484080550039242
308,-1.7726933687463764
323,1.7574418267622098
324,-1.7388248293865827
334,-1.9049594234253808
336,-1.8457762035052592
363,1.6617548346342121
383,4.49315424655633
384,-4.727122389314143
401,2.156149435561827
410,1.6749486331887058
411,-1.5888139036825384
426,5.229665726236243
427,-5.209160279075015
437,4.825672242960958
438,-4.8655933610507605
451,1.5327106099159291
452,-1.5539253203320706
470,5.235957032549469
471,-5.030024533169971
473,1.6269848450298436
474,-1.484677081880676
485,4.812686071021852
486,-4.843714527894189
493,-1.503017665170289
501,1.5269660469558497
513,-2.316569751385445
514,1.4062271461649811
519,1.9719609320361338
521,-1.5982416146201068
527,-1.5100799505191551
528,1.9098568359397583
535,2.1978148887033586
539,1.8696711106698436
542,3.1084019776624565
543,-2.386528175361249
548,-1.5169515554834638
557,-1.416004893862325
562,1.7331210890059363
565,-2.6811278124459137
566,1.6820425885014534
576,-1.59243715251889
580,1.592766966906425
581,-1.6936463206348296
596,1.7641000243938347
597,-1.885434141827523
603,1.6607454142303855
604,-1.4494946542999465
606,1.577193988694566
607,-1.8118308928332145
620,-1.6151813337995375
634,1.4343120375584675
637,4.84664913331305
638,-4.913186016549715
642,-1.4430921545412627
649,5.269036767508819
650,-4.880809241906642
657,5.177989850594993
658,-4.990541137351887
662,-1.843811565871884
674,-1.7755299366092283
681,2.325531669804084
682,-1.6557045029890558
690,1.4173438598504193
691,-1.4134152208023063
693,1.523013147664395
696,1.5094879622341102
698,-2.1003020078713295
710,-1.447881369900755
713,-1.7466981193378528
722,5.159479851951299
723,-5.095938917992522
728,5.3181667286152114
729,-5.174495505857936
738,4.486900409390381
739,-3.908575042962711
741,1.4835041945664904
742,-2.064549787022924
752,4.884757361225147
753,-4.884757361225147
755,1.5787698395836403
756,-1.6831728676998923
757,1.644028555673275
758,-1.5007013363645676
767,-1.856015480617196
774,-1.8419842695797364
789,1.8315389709255157
