,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,377.0
delta_entropy_ast_edge_file_normalised,191.0
delta_entropy_token_file_context,157.0
delta_entropy_token_file_normalised,128.0
delta_entropy_token_no_keywords_file_context,154.0
delta_entropy_token_no_keywords_file_normalised,124.0
delta_entropy_token_no_keywords_no_numbers_file_context,154.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,126.0
number_of_commits,0.0
commit_count,2690.0
delta_entropy_ast_edge_file_context_ratio,0.14014869888475837
delta_entropy_ast_edge_file_normalised_ratio,0.07100371747211896
delta_entropy_token_file_context_ratio,0.058364312267657995
delta_entropy_token_file_normalised_ratio,0.04758364312267658
delta_entropy_token_no_keywords_file_context_ratio,0.05724907063197026
delta_entropy_token_no_keywords_file_normalised_ratio,0.046096654275092935
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.05724907063197026
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.04684014869888476
