,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,67.0
delta_entropy_ast_edge_file_normalised,69.0
delta_entropy_token_file_context,45.0
delta_entropy_token_file_normalised,50.0
delta_entropy_token_no_keywords_file_context,45.0
delta_entropy_token_no_keywords_file_normalised,49.0
delta_entropy_token_no_keywords_no_numbers_file_context,46.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,50.0
number_of_commits,0.0
commit_count,1076.0
delta_entropy_ast_edge_file_context_ratio,0.062267657992565055
delta_entropy_ast_edge_file_normalised_ratio,0.06412639405204461
delta_entropy_token_file_context_ratio,0.041821561338289966
delta_entropy_token_file_normalised_ratio,0.046468401486988845
delta_entropy_token_no_keywords_file_context_ratio,0.041821561338289966
delta_entropy_token_no_keywords_file_normalised_ratio,0.04553903345724907
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04275092936802974
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.046468401486988845
