,delta_entropy_ast_edge_file_context
34,4.074533679025178
35,-3.657455824980996
51,-1.9179326584237302
56,2.0520875150126896
58,-1.892923365701522
60,1.7944517335034376
61,-2.185368450884488
78,4.467415033338809
79,-5.501476727160446
103,3.775418926097741
104,-3.701593604208102
137,-1.9228502905907734
187,2.4574709885886454
190,3.4549285309935067
191,-2.804949251257539
205,1.8787581041121926
206,-2.316863459295945
212,2.377040237775585
225,2.6878427598274337
226,-2.6878427598274337
243,3.4752232877510445
244,-2.796149829502707
282,1.8040122660391429
283,-1.8915681690231736
285,3.61659637633432
286,-2.8655424244654326
299,3.232256005107023
300,-3.8590100659012814
324,-1.8836172582047734
326,5.423716200079094
328,-2.8351503675060767
330,2.9361220968779644
332,-2.786267018085268
338,5.185817668693142
339,-4.615792275155797
340,4.615792275155797
341,-5.439874982567878
353,2.6662646949472757
354,-1.9764839930905103
355,3.2248448673294687
356,-3.09868396267721
373,4.705209645380413
374,-5.756910623861312
378,3.645419709474788
379,-3.180184171968354
391,5.61017950446791
392,-5.328548150121772
397,5.617414772576398
398,-4.702663169494133
401,4.269010126607418
403,-2.389777085629831
417,1.9582407519790928
436,4.502801247773138
437,-5.171701807804266
444,2.3965779642596114
445,-2.4118087488307562
460,2.063394325028987
507,3.061371208794535
512,2.118649972826182
544,1.900023955853224
546,-2.19887738402531
551,5.09890220986891
552,-3.6818808028033954
559,5.461103738026726
560,-4.8542589162347465
569,5.335316151852719
571,-5.2798491483742
574,5.585934914339576
575,-4.84565600912526
595,1.9675409519975733
637,5.59381029805799
638,-5.3467127579821065
674,1.84869283130904
678,2.0491303121566005
691,-2.095093806396027
693,2.327043907829207
696,2.091668468902217
697,-2.617258808291765
703,2.2328437944851163
704,-2.1476538799589053
712,3.250631365433965
713,-5.850101747278544
715,2.3865658013118605
716,-2.3726123044660534
725,1.996046365422507
727,-3.0416138188205424
739,5.46961079768316
740,-4.311832323632173
746,2.5694163403198873
747,-2.946915609811975
749,4.3207697378798064
750,-5.366769403142707
752,3.941661247291296
753,-3.2537015220167165
754,3.2537015220167165
755,-3.465407199025228
761,5.657298923068988
762,-5.67493151389627
769,5.5788850210666885
770,-5.2564752108060775
784,2.0770812013392788
785,-2.1368575071104554
787,2.7922221793579496
788,-2.627212021157895
794,1.8952283263151406
795,-2.9667319068066957
798,2.697768459266297
805,5.304302934057767
806,-5.449484993324479
810,4.28292866098811
811,-5.6804430392104415
820,5.325041069915799
822,-5.547642466438528
833,4.276745009835203
834,-3.411612096063369
887,2.635386511895978
888,-2.901546804402408
960,5.427350043007444
962,-5.323909722748047
966,4.084909217879497
967,-4.1934119737669135
971,1.789687566545692
980,2.6715576922316693
981,-2.238175073938672
989,4.010225794941729
990,-4.27831149920908
995,2.657254711650865
996,-1.9358987577393996
1019,2.4125787534562053
1020,-2.383077755152581
1046,3.314716473725821
1047,-3.524381814611094
1069,2.0862234269554425
1070,-2.3299940843467386
delta_entropy_ast_edge_file_normalised,"34      0.434815
35     -0.447688
50      0.241676
78      0.762620
79     -0.733545
          ...   
966     0.329545
967    -0.273414
989     0.267370
990    -0.295689
1050   -0.230336
Name: delta_entropy_ast_edge_file_normalised, Length: 91, dtype: float64"
