,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,134.0
delta_entropy_ast_edge_file_normalised,91.0
delta_entropy_token_file_context,65.0
delta_entropy_token_file_normalised,84.0
delta_entropy_token_no_keywords_file_context,62.0
delta_entropy_token_no_keywords_file_normalised,80.0
delta_entropy_token_no_keywords_no_numbers_file_context,64.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,86.0
number_of_commits,0.0
commit_count,1076.0
delta_entropy_ast_edge_file_context_ratio,0.12453531598513011
delta_entropy_ast_edge_file_normalised_ratio,0.0845724907063197
delta_entropy_token_file_context_ratio,0.0604089219330855
delta_entropy_token_file_normalised_ratio,0.07806691449814127
delta_entropy_token_no_keywords_file_context_ratio,0.05762081784386617
delta_entropy_token_no_keywords_file_normalised_ratio,0.07434944237918216
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.05947955390334572
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.07992565055762081
