,delta_entropy_ast_edge_file_context
36,5.559915023049799
37,-5.363456525109295
40,4.980319771288399
41,-5.24889932440674
49,1.6240312542967676
50,-1.645013156528901
64,2.070955450672248
65,-1.8768546519627203
75,2.482166118672822
76,-2.918003121665085
80,5.247444565061615
82,-4.437645593873551
92,5.424071236438561
93,-4.956478863825616
95,1.5499469689793326
102,3.370850371527593
103,-3.209769838773421
125,2.4267719085054664
126,-2.460801615075769
131,5.568726421829504
132,-5.473382479859365
144,1.6959977362928509
160,4.918831254578751
161,-5.640171622947238
209,5.008975148217587
210,-5.201054577705475
213,1.8899426403274855
214,-1.586663051769957
222,1.7343728168012746
223,-1.923380739368724
248,1.6640667477524889
252,-1.6905250968894165
313,5.580118228353938
314,-5.527702541842601
319,-1.5792141347548143
324,1.959763788239669
325,-1.8645337223547083
342,1.8326650605470336
345,-2.7117365564508877
349,5.797372007656653
350,-3.553763114472245
355,1.8056951875847878
359,1.9822126569966958
360,-1.7161000317301367
369,-1.5742951479812297
375,1.640306701900089
376,-1.900461149364605
389,1.947357462172957
391,1.7083022245946746
392,-1.6362995094687274
394,1.5871855361925578
395,-1.957318470489061
414,1.8802053580710876
415,-1.9939850982149547
418,-1.6129944969172696
425,5.593873960878359
426,-3.2340067861643806
427,-1.8066414959185182
456,1.758573450799986
470,1.8129973557826515
473,-1.4661451170216417
474,2.6207594187335403
475,-2.2843704790295623
477,-1.9489790436696115
507,5.013101713266774
508,-5.460690725331904
549,-1.8201662601039137
556,-1.7454811831345722
601,2.1925209677838686
611,-1.5413983942847704
623,1.6499525867253808
631,-1.7070891207397976
632,1.835405645772699
645,1.901128765403385
667,1.961262312342756
668,-1.5836107061274571
690,-1.6279956041110486
694,1.6015333676915673
695,-1.76924637779686
701,1.8035139292517908
702,-2.1500255145231035
716,-1.7518741558843858
771,2.183774184080196
772,-2.155640924950975
806,-1.7363488604851067
835,-1.6599991556936784
845,5.503057362586451
846,-5.003545277362806
852,3.7877078271750952
853,-4.3952409907187535
856,1.8940009971276726
868,1.580053307925534
869,-1.5251794021330642
876,5.258323291201748
877,-5.240450295919411
888,5.475159360844462
889,-5.397372416638256
900,1.72690047068774
901,-1.6782850260686484
931,-2.118928212027924
942,4.332664204860631
943,-4.950103660390633
944,3.5791530659359645
945,-3.77653991392934
954,2.130810276869544
974,1.863484297296674
975,-1.6665788221300653
977,2.02106016040815
982,-2.1185142642535206
993,1.6201766759396203
1009,1.5218350159955416
1010,-1.5057841325315224
1014,-1.6011517574796406
1025,3.834276714811965
1026,-5.534162958411397
1040,4.627388382237699
1041,-5.550300039007364
1088,1.7190426474458753
1091,2.375807587285332
1092,-1.8653073855329352
1093,5.099314171697316
1094,-5.084193681545143
1096,4.319180958284598
1098,-5.4403402690475895
1102,5.096662833662185
1105,-5.021311337129869
1106,5.021311337129869
1107,-5.796781487404322
1122,5.098207148213386
1124,-5.083698716923487
1131,5.059962877094313
1132,-5.04602347712382
1133,5.04602347712382
1134,-5.454631365112692
1144,1.4742734513175977
1145,-1.481759549691688
1149,4.617394651520732
1150,-5.003934221178554
1185,1.7326375578051127
1218,2.2691003610512936
1219,-1.9807213275410616
1236,1.762939177208151
1237,-1.5321644342549132
1242,-1.857287678010284
1274,2.346132556256298
1275,-2.1558682863946528
1278,2.4154443560273178
1279,-2.474524576935594
1286,2.3861026702717627
1288,-2.116964560410211
1301,2.112139252107626
1302,-1.9085656756337155
1367,1.5318764692831692
1368,-1.7702152722494278
1374,2.32474724126173
1375,-2.1196045801412815
1394,-1.610604788689483
1418,1.8007464492511858
1419,-2.3567723793020647
1442,-1.882488817961618
1487,-1.568755930002602
1495,2.118287759231101
1504,1.8072566596367996
1514,1.674650890268436
1515,-1.509223750752986
1519,-1.7631990587289723
1520,2.273460090949091
1521,-1.503208556018805
1550,-2.2309307528015676
1576,-1.6245604708487569
1583,1.9459443549264972
1608,-1.4903380390684964
1617,1.7355743487966113
1618,-1.917280915422069
1621,-1.7705366016024455
1639,1.5935057580010064
1647,1.9867073114603035
1652,1.6690678804471197
1653,-1.6790022191224132
1661,2.1431333976617717
1662,-2.0202109249193403
1665,-1.89873840304012
1732,2.3714240505869117
1733,-1.9847326791030913
1756,1.9513909157895133
1757,-2.2875155305430708
1781,2.0946552413231614
1782,-1.5488811687456776
1791,2.0135611199852548
1792,-2.193709040744582
1823,-1.9923321790911404
1824,5.467830688310528
1825,-5.319718080348883
1843,1.6638548761678216
1854,4.922599794246957
1855,-4.832693055550435
1864,1.952127809176578
1884,4.714715771668749
1885,-5.058837770975987
1910,5.051200394693272
1911,-4.622864742120148
1925,5.057186239371148
1926,-4.621213268266182
1936,-1.5457294863039408
1939,1.4890068190938677
1940,-1.6060681750417207
1946,1.5110424246109009
1948,-1.8351050475435673
1964,1.6610468008632888
1966,-1.8064495538381937
1970,1.6022964855324995
1971,-1.5891887479418214
1979,4.710225550333446
1981,-5.489951400399874
1991,5.49893210404384
1992,-5.391178073382018
2001,2.269069211966477
2002,-2.4756738532546048
2017,2.080897988460483
2018,-2.259227098126749
2030,2.6198096405482554
2031,-2.7736277598179475
2041,1.530232056398178
2042,-1.5336234097568595
2043,1.5785038274646976
2052,1.8693409717402951
2087,1.581217047341061
2090,-1.6825198124236405
2093,-1.576233354052579
2098,1.6212311765565266
2099,-1.5274816724740317
2113,-2.2055435172486892
2115,1.9220752454741103
2126,1.7854123197175649
2127,-1.960945606614352
2139,5.602138873755626
2140,-4.25576132798677
2146,1.5798066530933454
2156,1.4980022778933
2160,-1.5089282540845463
2190,-1.8998546929400568
2192,1.8418050067259597
2195,-1.7046106282567406
2215,5.298975329583714
2216,-4.636400683726638
2220,4.634926054810676
2221,-5.228579534285187
2236,5.310436714558214
2237,-5.579442078085556
2249,1.984111486497378
2250,-1.5033990081813036
2254,1.663762768899062
2275,5.039580587190324
2276,-5.049136382916956
2279,-1.4894718843630441
2283,1.493148218668915
2290,5.516742235935823
2292,-5.325111672781447
2295,4.671238403307313
2296,-5.468827660594261
2302,5.243492510160099
2303,-5.445149899517856
2314,5.085265560828209
2315,-5.727285837205462
2369,5.323178843553469
2370,-4.337923071851635
2383,5.6044699914755975
2384,-5.293811602339639
2394,1.6078113133523582
2395,-1.4567245810157736
2400,5.251642507479873
2401,-4.999466062710613
2405,1.6897537774409963
2406,3.505529527924225
2408,-4.739465128904829
2409,4.739465128904829
2414,-4.120572084444629
2418,5.318494731925761
2423,-5.755167404756857
2428,5.740993116634615
2429,-5.478720026922394
2432,5.725166055245239
2434,-5.317425351310097
2435,5.317425351310097
2436,-5.662727956385319
2440,5.013431089343464
2441,-4.117742866446154
2444,5.37127971803926
2445,-4.558097740509691
2447,5.075022061599348
2448,-5.179626815937482
2449,5.179626815937482
2451,-4.975584557183597
2452,4.975584557183597
2453,-5.5248476637204815
2454,1.8566657167363012
2455,-1.8166422564412976
2458,1.6387325889449915
2459,-1.4801422840442005
2460,4.880106767864682
2461,-5.810939326538173
2464,-1.5737405457324378
2465,1.5737405457324378
2466,3.718917370838412
2470,-5.004899055911099
2482,5.470144663079651
2487,-5.426146233664405
2491,1.6232400015984152
2492,-1.762336807818413
2498,5.2165768118878
2499,-5.518645165732721
2502,5.518690142679111
2503,-5.363219805065038
2505,5.522331134117397
2508,-5.564716727918198
2511,5.528376568150515
2514,-5.2092673103947735
2515,5.2092673103947735
2517,-5.808974765707618
2522,5.138022870501417
2528,-5.179029235305519
2529,5.179029235305519
2530,-5.298169889725914
2532,5.44904463502832
2533,-5.480851342237662
2541,5.487022218462068
2542,-4.784555024431862
2548,4.626667829445458
2549,-5.947579125538027
2550,5.947579125538027
2563,-3.731611140413054
2564,3.7316111404130536
2582,-5.612829658857529
2584,5.213557399348909
2592,-5.214787961251991
2593,5.214787961251991
2597,-3.103494987006201
2598,-2.5284715405402127
2599,5.631966527546414
2600,-5.046722391708497
2601,5.046722391708497
2602,-5.045250820126578
2604,5.047346769732455
2616,-5.292600893607219
2621,5.456830226963882
2630,-5.194723361876507
2631,5.194723361876507
2632,-5.472508191213355
delta_entropy_ast_edge_file_normalised,"18     -0.172560
36      0.816751
37     -0.893909
40      0.809841
41     -0.808536
          ...   
2616   -0.852346
2621    0.811072
2630   -0.812651
2631    0.812651
2632   -0.785627
Name: delta_entropy_ast_edge_file_normalised, Length: 170, dtype: float64"
