,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,348.0
delta_entropy_ast_edge_file_normalised,170.0
delta_entropy_token_file_context,187.0
delta_entropy_token_file_normalised,182.0
delta_entropy_token_no_keywords_file_context,184.0
delta_entropy_token_no_keywords_file_normalised,179.0
delta_entropy_token_no_keywords_no_numbers_file_context,189.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,182.0
number_of_commits,0.0
commit_count,2648.0
delta_entropy_ast_edge_file_context_ratio,0.13141993957703926
delta_entropy_ast_edge_file_normalised_ratio,0.06419939577039276
delta_entropy_token_file_context_ratio,0.07061933534743202
delta_entropy_token_file_normalised_ratio,0.06873111782477341
delta_entropy_token_no_keywords_file_context_ratio,0.06948640483383686
delta_entropy_token_no_keywords_file_normalised_ratio,0.06759818731117825
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.07137462235649547
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.06873111782477341
