,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,173.0
delta_entropy_ast_edge_file_normalised,93.0
delta_entropy_token_file_context,92.0
delta_entropy_token_file_normalised,92.0
delta_entropy_token_no_keywords_file_context,92.0
delta_entropy_token_no_keywords_file_normalised,92.0
delta_entropy_token_no_keywords_no_numbers_file_context,92.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,93.0
number_of_commits,0.0
commit_count,3764.0
delta_entropy_ast_edge_file_context_ratio,0.04596174282678002
delta_entropy_ast_edge_file_normalised_ratio,0.024707757704569608
delta_entropy_token_file_context_ratio,0.024442082890541977
delta_entropy_token_file_normalised_ratio,0.024442082890541977
delta_entropy_token_no_keywords_file_context_ratio,0.024442082890541977
delta_entropy_token_no_keywords_file_normalised_ratio,0.024442082890541977
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.024442082890541977
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.024707757704569608
