,delta_entropy_ast_edge_file_context
9,-1.0149900798596465
27,-1.0388243946796525
61,5.378083720572373
62,-4.8707637332170535
72,1.0431373999607718
73,-1.0200868645190448
82,5.489252810670951
83,-5.148186969968012
84,5.148186969968012
85,-5.41992460504921
92,2.248842895953256
93,-1.7799585814389447
128,5.065692780827815
129,-5.5510422109114765
157,1.1675065027729765
158,-1.5583037620315134
174,5.72040589432274
175,-4.812551050891208
185,5.418188719333169
186,-5.585808222694402
199,2.1996933981407207
200,-2.120387101693312
221,5.435999519053543
222,-5.559181558834399
245,1.1866025624010956
299,1.6839908347482062
300,-1.407755959338468
331,1.2384824432585573
332,-1.2281272976169804
344,5.517351971739874
345,-5.323843900973539
359,1.1471955516160222
360,4.675707258551802
361,-5.4502975160188045
379,1.3395775090597644
380,-1.1280234211526157
400,5.1673211406216
401,-5.244630907854313
421,1.6926697985778774
422,-1.4098729047072283
446,1.1269261961795638
447,-1.122946384828107
455,2.6450876504434673
456,-2.4670870365661397
482,-1.1153473531068467
496,1.193735600277054
540,1.5823389883029657
541,-1.596850876667947
553,5.5905626096368914
554,-5.231366608841181
597,5.468784818319299
598,-5.405261841765479
606,1.6614887988840037
607,-1.0964688798958775
613,5.387301992224258
614,-5.3567628105311655
659,1.948145160936193
660,-1.9850193661287496
666,2.0325419944803715
667,-1.957970094805947
684,-1.1104528510776372
716,1.2013726910619775
783,1.1776391799332293
784,-1.2796107460246835
796,2.2399796309248665
797,-1.6168109975322276
814,-1.0656171571587851
843,5.594288047880445
844,-4.913138484594195
849,-1.1009783425488306
899,1.2005320573369085
915,1.2084789552880664
916,-1.8651439508163894
932,1.1390756081199365
933,-1.0615393419909367
961,1.461020174192636
965,-1.0381825145713774
992,1.3342567018279765
993,-1.5941106828234015
1001,-1.0166003030915114
1025,1.8829831998895574
1026,-1.5280990324622437
1029,3.103529233655271
1030,-2.9310489391406467
1033,1.2464029364736735
1037,2.2028957298748724
1038,-2.026143545626356
1049,-1.0993326893767001
1051,1.131862442917765
1052,-1.5798564788616232
1057,1.499457316092415
1058,-1.1510770482431933
1115,-1.0571222075373843
1136,1.0883462147910397
1137,-1.1592358105908653
1138,5.469770042839881
1139,-5.382251040263913
1262,5.4737789793341465
1263,-5.3250178807882005
1273,5.055971864288289
1274,-5.700058936047214
1354,5.110233674054435
1355,-5.6596340827733735
1364,5.669526709551592
1365,-5.193815691475013
1380,5.689715577883805
1381,-5.375680297616443
1387,4.909264539360647
1388,-4.912882110707067
1395,1.0636414422949487
1396,-1.4321310155462545
1397,1.4321310155462543
1398,-1.2951246663620037
1399,1.3393869868415524
1400,-1.3367748352283018
1403,-1.0669338235702996
1406,1.4115200541287436
1407,-1.2487954073374636
1440,2.3388123002660577
1441,-2.1757966763345977
1448,1.106838161630292
1499,1.6221515423978894
1500,-1.3903770462655056
1502,-1.2133488120442877
1513,1.4023651189973538
1514,-1.646073733657401
1527,-1.0978614727793499
1539,1.119791041912647
1540,-1.6331833412158643
1544,1.6166541453043735
1545,-1.534870377526065
1566,1.6085437142224173
1567,-1.5054535946454433
1575,1.9318532918171554
1576,-2.0413208964102028
1595,1.4418888610327425
1604,4.900816622950312
1605,-5.486747669868362
1612,2.2502222248777795
1613,-2.395985092473718
1618,1.1177381528584611
1619,-1.338105933663969
1623,1.3253050944371827
1624,-1.4710106893472927
1628,1.600693723015072
1629,-1.4164999175244701
1655,-1.076587793131515
1672,1.857445075427997
1673,-1.38060009810089
1682,1.4482079325686827
1697,5.464691518613379
1698,-5.465796492441876
1713,5.452627868793805
1714,-5.31865190550068
1728,1.6393108105590015
1729,-1.8234083472343388
1751,1.122146098854258
1789,1.0633500861363236
1833,-1.026007873664642
1837,2.368162983027275
1838,-1.9287695021145383
1850,1.480325480819593
1851,-1.7272995506294029
1852,1.3698180795403754
1858,1.090128148451722
1859,-1.2394031280438176
1861,1.9383342172667706
1862,-1.7254520013419417
1869,1.8240655845018077
1871,-1.9014768023989919
1872,5.4266258374470375
1873,-5.5847362347838
1901,5.10369771083137
1902,-5.1054871772373405
1917,-1.0699635560631942
1940,1.3874392385748306
1941,-1.8359552476380971
1953,1.6458171463262175
1954,-1.0722465683043572
1975,5.662120680839141
1976,-5.3501405443580055
1978,1.155539129630725
1979,-1.1918729579453649
1982,1.3043928960599889
1983,-1.7860755071398648
1996,1.0312503454947803
2012,1.123288188212268
2013,-2.0191992102559264
2021,-1.0075844988584377
2026,1.7268867320989667
2027,-1.5669943978513619
2029,-1.2418214589670704
2030,1.9893108289051482
2031,-1.219456746415824
2033,1.8016811453617536
2034,-1.9894125425969746
2036,1.2077178622583116
2037,-1.347112420520868
2051,1.3725874384843273
2052,-2.2518745901195567
2054,2.6476271325567806
2055,-2.856414758458774
2057,1.2834777451773471
2058,-1.5451779943994506
2091,-1.1214756658085125
2119,2.116740386083232
2120,-2.140567626212902
2141,-1.1925204192995302
2147,5.027766776403725
2148,-5.155048259506819
