,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,1591.0
delta_entropy_ast_edge_file_normalised,1003.0
delta_entropy_token_file_context,1075.0
delta_entropy_token_file_normalised,995.0
delta_entropy_token_no_keywords_file_context,1088.0
delta_entropy_token_no_keywords_file_normalised,994.0
delta_entropy_token_no_keywords_no_numbers_file_context,1093.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,1011.0
number_of_commits,0.0
commit_count,45520.0
delta_entropy_ast_edge_file_context_ratio,0.034951669595782074
delta_entropy_ast_edge_file_normalised_ratio,0.02203427065026362
delta_entropy_token_file_context_ratio,0.023615992970123022
delta_entropy_token_file_normalised_ratio,0.021858523725834796
delta_entropy_token_no_keywords_file_context_ratio,0.02390158172231986
delta_entropy_token_no_keywords_file_normalised_ratio,0.021836555360281194
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.024011423550087875
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.02221001757469244
