,delta_entropy_ast_edge_file_context
0,-2.2605659352625507
6,1.6844598876112449
8,-2.3011313711192445
13,5.705738538203113
14,-3.671145797059273
15,-1.7949053159840878
17,1.7722785793722329
22,3.677330326217416
23,-3.677278648724675
24,-1.6366997920554027
26,1.7521242912358623
29,3.726174129682352
30,-5.468182014416931
52,1.679733873501037
53,-1.5632026799483179
74,2.0714139886665945
75,-1.6216848615680024
78,1.973680107994043
79,-1.9744252187428404
89,1.74520371730128
91,-1.6338657308803857
92,1.639211601252145
93,-1.5394161338244827
97,1.6016183034074514
99,-1.7262730857884518
131,1.6410189265994348
132,-1.9003833553777931
154,1.8113403314296277
155,-2.0330505866399373
204,2.104879564570237
206,-2.12096699183773
207,5.313728130942752
208,-5.55666908836934
246,1.6671477719754373
247,-1.4719111351188578
251,-1.3764926408468632
253,2.394715547292185
255,-2.411462945331941
267,2.2253525817990156
268,-1.829062054884702
278,2.456890143460112
279,-2.4568901434601123
292,2.2345147414155218
293,-1.7032016251202942
301,2.2771818014243173
302,-2.3825167574346
306,2.48162688559142
307,-2.452520985297573
315,2.1286352629708283
316,-2.428576982259386
337,2.13180257489261
338,-2.152742590407737
341,4.333180169477759
342,-4.1987309881426125
357,1.7269675887768372
358,-1.9196130564242695
367,2.2391820215652407
369,-2.5999757881683196
370,5.781224913073538
371,-5.58226027445634
376,2.153740884136241
378,-1.562137276692778
383,2.2447024782813947
385,-2.141227838313252
387,2.1185299226050036
388,-2.3515901998815254
391,2.3577931178783063
392,-2.314398819379033
398,2.156611373434403
399,-2.1964732077661013
402,2.1536475662541625
403,-2.5374824265502993
405,2.403594278957291
406,-2.271037438260094
411,2.067195109502722
412,-2.4305676647842795
414,2.1001107405811954
415,-2.1107516556505326
432,2.240985757205891
435,-2.4477277597577225
436,2.4516890751440146
437,-2.5796682600877117
446,2.166519421596897
447,-2.130695694793057
450,5.486556333635799
451,-5.6061124168930325
452,2.476180745224453
453,-2.3481680360932904
459,2.6409311959169384
460,-2.5366787220741274
467,2.291948797745734
468,-2.5714842329049175
482,2.2553003499089725
484,-2.487999155328791
486,2.233934677433201
487,-2.172580245274875
490,2.4834363043754526
491,-2.3486938588120143
501,2.3620209902428737
504,-2.2747427998089083
522,1.7653021660385657
523,-2.375426729781821
526,2.4822431226614823
527,-2.496537679856586
538,1.6640030730918494
547,5.711687047583976
548,-5.18577401688578
549,1.7261137239837516
550,-1.7261137239837545
565,5.503580663802742
566,-3.133206219346495
567,-2.542700097904464
568,2.1944795985253536
585,2.4651916182311857
586,-2.379849721057916
587,2.4515287087258075
588,-2.02536399725005
600,1.6242237721251906
601,-1.9160086917796442
605,-1.5448932505371666
606,5.482967145275032
607,-5.211176548274184
611,5.0114390549914285
612,-5.209050805315167
623,2.109652518622205
