,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,4944.0
delta_entropy_ast_edge_file_normalised,1903.0
delta_entropy_token_file_context,2058.0
delta_entropy_token_file_normalised,1880.0
delta_entropy_token_no_keywords_file_context,2061.0
delta_entropy_token_no_keywords_file_normalised,1793.0
delta_entropy_token_no_keywords_no_numbers_file_context,1999.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,1884.0
number_of_commits,0.0
commit_count,45520.0
delta_entropy_ast_edge_file_context_ratio,0.1086115992970123
delta_entropy_ast_edge_file_normalised_ratio,0.04180579964850615
delta_entropy_token_file_context_ratio,0.04521089630931459
delta_entropy_token_file_normalised_ratio,0.04130052724077329
delta_entropy_token_no_keywords_file_context_ratio,0.0452768014059754
delta_entropy_token_no_keywords_file_normalised_ratio,0.03938927943760984
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04391476274165202
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.041388400702987695
