,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,156.0
delta_entropy_ast_edge_file_normalised,132.0
delta_entropy_token_file_context,132.0
delta_entropy_token_file_normalised,134.0
delta_entropy_token_no_keywords_file_context,132.0
delta_entropy_token_no_keywords_file_normalised,134.0
delta_entropy_token_no_keywords_no_numbers_file_context,132.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,134.0
number_of_commits,0.0
commit_count,4387.0
delta_entropy_ast_edge_file_context_ratio,0.03555960793252792
delta_entropy_ast_edge_file_normalised_ratio,0.03008889901983132
delta_entropy_token_file_context_ratio,0.03008889901983132
delta_entropy_token_file_normalised_ratio,0.030544791429222704
delta_entropy_token_no_keywords_file_context_ratio,0.03008889901983132
delta_entropy_token_no_keywords_file_normalised_ratio,0.030544791429222704
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.03008889901983132
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.030544791429222704
