,delta_entropy_ast_edge_file_context
2,1.7270076192489423
10,2.2730835747417157
11,-2.2709512927084656
46,-1.7649793105356784
50,1.7577478677161134
57,5.017579301870709
58,-5.574639649745579
92,5.593291569241418
93,-5.596941604229081
96,5.37855623539896
97,-5.580817750377972
126,4.901677537731863
127,-5.5127677294726265
150,5.267325365948253
151,-5.429653410901783
167,1.923946192033444
168,-1.8013670150767318
185,-1.592692767951957
201,5.3421076053297485
202,-5.171089362357369
220,5.985125081114066
221,-5.530182839286509
223,5.1020039902094725
224,-5.613031634620018
226,5.400597598922659
227,-5.339033724303004
228,5.339033724303004
229,-5.113425010547778
234,-1.4919535019906138
238,5.268087438163201
239,-5.556815943501528
240,5.556815943501528
241,-5.386905430492252
247,-1.6010922752130383
268,-1.9826854327077927
272,-1.5488101544548505
288,5.482036138551536
289,-5.5425012916177225
346,1.9440598807818956
347,-1.60451512785662
361,-1.7398472063392338
381,5.766895977493713
382,-4.777838658781222
436,4.514574504345763
437,-5.226725544277007
440,-2.0140009049311085
464,2.840132285148105
465,-3.0976789425943725
469,1.897914612038336
499,1.6335858760965474
503,-1.4936614939751698
504,1.9637002855194354
505,-1.9670382944859808
509,2.387883031783166
510,-2.5209084726026276
518,2.0946151080832305
519,-1.7556958065399622
524,4.413097097248727
525,-3.868468684329722
545,5.63729376604309
546,-5.634490129275177
563,1.6994269164436755
564,-1.599616215690034
568,-1.5330657715550178
569,1.9796980758009968
571,-1.6858699516840652
581,1.554996732519479
582,-1.6406268194876938
594,1.7626304757886535
597,-1.7154684306498904
617,-1.8095845629041598
625,-1.565414855250399
634,-1.9763597659891046
638,1.832442124437228
640,-1.6951051490624574
644,5.48465946959232
645,-4.26066384813834
657,-1.6633919229551921
668,1.5173278229663278
673,1.7594038522888784
674,-1.9141341323883285
678,5.18982531279457
679,-5.550250299658141
702,1.7289914752766007
733,1.8618566370578824
734,-2.457116169310926
781,-1.6122106492561867
803,-1.6216006139666108
851,1.6880340730971453
853,-2.0775943640236276
860,1.7905371292574346
866,5.5892365481376265
867,-4.715606027058649
873,5.691676603364216
875,-4.731974565504558
919,1.6865609231228467
920,-2.2568723261824992
935,2.254480707550371
936,3.5068905956085183
937,-5.281849143566795
940,1.697912529401607
941,-1.6243002187809412
956,2.147194127433105
965,-1.6061383970291292
969,1.5398544047459763
1057,1.7089411095282014
1058,-1.6864231105558
1073,1.9180387291881975
1089,2.202926750374687
1091,-2.175982046262771
1097,-1.5528724974930048
1099,3.4010116480335104
1100,-3.528943776270288
1105,-1.6046238371045378
1128,-1.6427686975626896
1133,4.400554552667752
