,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,307.0
delta_entropy_ast_edge_file_normalised,231.0
delta_entropy_token_file_context,210.0
delta_entropy_token_file_normalised,175.0
delta_entropy_token_no_keywords_file_context,233.0
delta_entropy_token_no_keywords_file_normalised,177.0
delta_entropy_token_no_keywords_no_numbers_file_context,235.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,178.0
number_of_commits,0.0
commit_count,4387.0
delta_entropy_ast_edge_file_context_ratio,0.06997948484157739
delta_entropy_ast_edge_file_normalised_ratio,0.05265557328470481
delta_entropy_token_file_context_ratio,0.04786870298609528
delta_entropy_token_file_normalised_ratio,0.039890585821746066
delta_entropy_token_no_keywords_file_context_ratio,0.053111465694096194
delta_entropy_token_no_keywords_file_normalised_ratio,0.040346478231137455
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.053567358103487575
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.040574424435833145
