,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,89.0
delta_entropy_ast_edge_file_normalised,62.0
delta_entropy_token_file_context,62.0
delta_entropy_token_file_normalised,60.0
delta_entropy_token_no_keywords_file_context,62.0
delta_entropy_token_no_keywords_file_normalised,60.0
delta_entropy_token_no_keywords_no_numbers_file_context,62.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,60.0
number_of_commits,0.0
commit_count,1464.0
delta_entropy_ast_edge_file_context_ratio,0.060792349726775954
delta_entropy_ast_edge_file_normalised_ratio,0.04234972677595628
delta_entropy_token_file_context_ratio,0.04234972677595628
delta_entropy_token_file_normalised_ratio,0.040983606557377046
delta_entropy_token_no_keywords_file_context_ratio,0.04234972677595628
delta_entropy_token_no_keywords_file_normalised_ratio,0.040983606557377046
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04234972677595628
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.040983606557377046
