,delta_entropy_ast_edge_file_context
3,2.290525272247388
4,-2.650100696932268
6,2.0036479118082147
7,-1.7915128611355435
8,5.560696751231026
9,-5.2435173924391965
11,-1.5802129140000187
17,5.564820804841933
18,-3.859470570797251
42,1.6825122402727644
43,-1.7602360793420104
50,1.8555629592520697
56,1.5977865338169233
57,-2.277392791111617
61,-1.6076672855980347
64,-1.7303056431902322
78,4.135499083251583
79,-4.135499083251583
87,2.3112237674326885
88,-2.7699875516820027
94,1.6931400056076416
95,-1.9293226649982045
100,2.429235205699448
101,-1.6563509784809993
104,1.6725116324007132
110,1.6677655064745842
111,-1.80568132828643
112,1.8128758920511014
117,3.9730065112394177
118,-3.844123744432928
130,-1.8559374765832097
131,2.456733238595443
132,-1.6900098165218433
135,1.9367881209926168
136,-1.9326533146141525
139,-1.6209093791970615
140,2.131827184202478
141,-1.5982907393488182
145,3.780712738531648
146,-5.496352857278507
147,4.125402262823838
148,-2.439441007816455
151,-1.687068381447919
161,1.822128772213388
168,1.5833099468189735
170,-1.7627776922685454
174,1.9276460477412156
178,-1.6575108305655664
189,1.8201132831891567
190,-1.9697098645284952
192,1.7653376081203034
194,-1.786433756006148
209,1.8060733415722057
213,-2.6830688201800474
225,5.183307834466037
226,-5.022758623662864
231,5.552948719571195
232,-4.352695387030874
266,5.8982784898557785
267,-5.897733673346968
270,2.1684858234039286
271,3.664669267217111
272,-5.276311056090004
273,1.6361195641376662
279,2.0761194638235896
280,-1.8289285903635966
289,-1.707453838700507
294,1.9529075614339297
295,-1.676688711810757
306,5.252443267280587
307,-5.255363801067847
317,-1.8001650673308083
319,5.216505407582041
320,-5.586554863978881
327,1.8725527503654147
328,3.697550406064092
329,-5.577041326040058
342,1.7952746984582653
343,-2.2789316346284147
349,5.257732530627415
350,-5.25869427535884
355,5.032326081492268
356,-3.87294546736871
359,5.257732530627415
360,-5.438981123265892
363,-1.8022881308776642
384,2.2816164486806767
385,2.831074987250572
386,-5.655151852644008
390,5.271245099392513
391,-5.447952202290078
393,2.097649527661589
394,-2.1094720210667597
401,-1.724634565369083
407,5.282463628475675
408,-5.620578893889201
416,5.631214870832025
417,-5.6475230024098
426,1.8382410933746327
427,-1.7044746030787223
431,1.8977580276041275
432,-2.3342868686640497
433,2.739575376937477
434,-2.8131439337675697
435,1.9525255716935739
436,-1.9552178443855996
437,2.4105476981861687
438,-2.1170424137335946
448,2.1360089898509864
449,-2.173073728229308
454,5.472947100252148
455,-5.170926127782365
462,3.379672469995536
464,-3.70055689405388
473,1.6487166318235165
474,-2.003288576080407
475,3.035109190826514
482,-1.6741540120205527
488,2.1852218286930043
489,-2.391487280227157
509,2.2049545415649976
510,-1.6832951139215337
514,5.87632771853137
515,-5.165707402492742
523,-1.6537402172832634
526,3.5395452006929857
527,-2.917262333494007
529,4.1494378045968645
530,-3.655684240401632
534,1.74360419688889
536,4.624105022723012
537,-5.145995347372773
540,2.324487644299915
541,-2.536781317715996
546,1.5778336664889347
555,1.7620228780054448
561,1.643667469199729
562,-1.9507437703996868
575,1.6687087937354774
576,-1.7542589018285388
581,-2.008712634832531
605,1.6585457924200893
606,-1.6585457924200893
614,-2.183449194969249
615,2.9694622797079706
616,-2.74276613768248
638,5.038922495546592
639,-4.60400261392703
640,1.868043126506759
641,-2.888716199560617
642,2.0078183210280702
643,-2.043631484989398
669,5.907387901162016
670,-4.933137593528323
682,1.922045710095126
683,-1.5639121168858048
690,-2.08113799021146
691,2.0913245770167435
692,-2.149715218644521
696,2.198441031404362
697,-1.8245020957082683
700,2.1366355289963
703,4.305234103205544
704,-3.795722974862612
705,1.7562563165567608
706,-2.3809239795965738
713,1.8728575535774103
715,-2.7485005543302266
723,1.6930371362383667
725,-2.1593166424400647
727,2.0817660557375794
728,-1.5775345191468917
729,1.656821780809822
730,2.2064211137034655
731,-2.2857083753663963
732,3.656658969821065
733,-5.575253960000133
740,-1.6959871254095569
742,5.7454446034893945
743,-5.740745630936424
766,2.08028531995514
767,-1.5689025159779484
795,2.3024885664933405
796,-1.8194880279346288
834,5.688927763107682
835,-5.60642913350912
836,1.7160251414627177
837,-1.8397423928319208
850,1.5881592330481853
863,-1.851710772719435
873,2.6007280388010092
874,-2.48788115143048
877,-1.6892561172865819
879,2.162082722219669
880,-2.387201812696862
903,2.4905823354267653
904,-2.4658490626744554
919,-2.1082571944255526
973,1.9015130102567337
977,2.1259977637389205
978,-2.0283974619537504
997,1.6799310537706615
1004,1.6497091805932649
1005,-1.9078344130071359
1012,1.8874641300941053
1015,-2.929500779373545
1022,2.42319653749103
1023,-1.9382499396334008
1026,4.0388263572406835
1027,-2.202942923129928
1028,-1.9557004722469284
1038,2.7311918203874135
1039,-2.908842419911096
1047,-1.8360652529085784
1065,1.9326543699850003
1066,-1.9531621653038986
1078,2.066981069569046
1079,-1.930773539834777
1090,-1.5964490343819713
1096,-1.6690906132350538
1097,1.669090613235054
1117,1.9925605600675544
1140,-1.7053992912705218
1155,5.6091549672137
1156,-4.893353051230728
1159,1.5950883784765058
1160,-1.723273572504227
1166,1.8539033006047403
1168,-1.910378399061551
1195,1.9711342015078963
1209,2.3629999652482634
1210,-3.0148202296120314
1214,2.145823360863033
1215,-1.5992494278624916
1226,-2.004231967975715
1227,2.0195972027348854
1243,-2.2843615576744334
1260,2.00001148140135
1261,-2.0863744796223975
1265,1.5736255937170238
1267,1.7540286977004955
1268,-1.6170863074311295
1269,3.844857157375192
1270,-3.978178926194095
