,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,271.0
delta_entropy_ast_edge_file_normalised,74.0
delta_entropy_token_file_context,93.0
delta_entropy_token_file_normalised,90.0
delta_entropy_token_no_keywords_file_context,93.0
delta_entropy_token_no_keywords_file_normalised,85.0
delta_entropy_token_no_keywords_no_numbers_file_context,90.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,89.0
number_of_commits,0.0
commit_count,1464.0
delta_entropy_ast_edge_file_context_ratio,0.18510928961748635
delta_entropy_ast_edge_file_normalised_ratio,0.050546448087431695
delta_entropy_token_file_context_ratio,0.06352459016393443
delta_entropy_token_file_normalised_ratio,0.06147540983606557
delta_entropy_token_no_keywords_file_context_ratio,0.06352459016393443
delta_entropy_token_no_keywords_file_normalised_ratio,0.05806010928961749
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.06147540983606557
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.060792349726775954
