,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,167.0
delta_entropy_ast_edge_file_normalised,34.0
delta_entropy_token_file_context,42.0
delta_entropy_token_file_normalised,58.0
delta_entropy_token_no_keywords_file_context,42.0
delta_entropy_token_no_keywords_file_normalised,59.0
delta_entropy_token_no_keywords_no_numbers_file_context,42.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,59.0
number_of_commits,0.0
commit_count,1581.0
delta_entropy_ast_edge_file_context_ratio,0.105629348513599
delta_entropy_ast_edge_file_normalised_ratio,0.021505376344086023
delta_entropy_token_file_context_ratio,0.026565464895635674
delta_entropy_token_file_normalised_ratio,0.036685641998734975
delta_entropy_token_no_keywords_file_context_ratio,0.026565464895635674
delta_entropy_token_no_keywords_file_normalised_ratio,0.03731815306767868
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.026565464895635674
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.03731815306767868
