,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,387.0
delta_entropy_ast_edge_file_normalised,75.0
delta_entropy_token_file_context,104.0
delta_entropy_token_file_normalised,225.0
delta_entropy_token_no_keywords_file_context,104.0
delta_entropy_token_no_keywords_file_normalised,224.0
delta_entropy_token_no_keywords_no_numbers_file_context,110.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,228.0
number_of_commits,0.0
commit_count,1581.0
delta_entropy_ast_edge_file_context_ratio,0.24478178368121442
delta_entropy_ast_edge_file_normalised_ratio,0.04743833017077799
delta_entropy_token_file_context_ratio,0.06578115117014548
delta_entropy_token_file_normalised_ratio,0.14231499051233396
delta_entropy_token_no_keywords_file_context_ratio,0.06578115117014548
delta_entropy_token_no_keywords_file_normalised_ratio,0.14168247944339027
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.06957621758380772
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.1442125237191651
