,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,36.0
delta_entropy_ast_edge_file_normalised,32.0
delta_entropy_token_file_context,30.0
delta_entropy_token_file_normalised,30.0
delta_entropy_token_no_keywords_file_context,23.0
delta_entropy_token_no_keywords_file_normalised,30.0
delta_entropy_token_no_keywords_no_numbers_file_context,23.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,30.0
number_of_commits,0.0
commit_count,1392.0
delta_entropy_ast_edge_file_context_ratio,0.02586206896551724
delta_entropy_ast_edge_file_normalised_ratio,0.022988505747126436
delta_entropy_token_file_context_ratio,0.021551724137931036
delta_entropy_token_file_normalised_ratio,0.021551724137931036
delta_entropy_token_no_keywords_file_context_ratio,0.016522988505747127
delta_entropy_token_no_keywords_file_normalised_ratio,0.021551724137931036
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.016522988505747127
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.021551724137931036
