,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,101.0
delta_entropy_ast_edge_file_normalised,55.0
delta_entropy_token_file_context,127.0
delta_entropy_token_file_normalised,70.0
delta_entropy_token_no_keywords_file_context,72.0
delta_entropy_token_no_keywords_file_normalised,51.0
delta_entropy_token_no_keywords_no_numbers_file_context,68.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,51.0
number_of_commits,0.0
commit_count,1392.0
delta_entropy_ast_edge_file_context_ratio,0.07255747126436782
delta_entropy_ast_edge_file_normalised_ratio,0.039511494252873564
delta_entropy_token_file_context_ratio,0.09123563218390805
delta_entropy_token_file_normalised_ratio,0.05028735632183908
delta_entropy_token_no_keywords_file_context_ratio,0.05172413793103448
delta_entropy_token_no_keywords_file_normalised_ratio,0.036637931034482756
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04885057471264368
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.036637931034482756
