,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,42.0
delta_entropy_ast_edge_file_normalised,28.0
delta_entropy_token_file_context,33.0
delta_entropy_token_file_normalised,28.0
delta_entropy_token_no_keywords_file_context,34.0
delta_entropy_token_no_keywords_file_normalised,28.0
delta_entropy_token_no_keywords_no_numbers_file_context,33.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,28.0
number_of_commits,0.0
commit_count,1211.0
delta_entropy_ast_edge_file_context_ratio,0.03468208092485549
delta_entropy_ast_edge_file_normalised_ratio,0.023121387283236993
delta_entropy_token_file_context_ratio,0.027250206440957887
delta_entropy_token_file_normalised_ratio,0.023121387283236993
delta_entropy_token_no_keywords_file_context_ratio,0.028075970272502065
delta_entropy_token_no_keywords_file_normalised_ratio,0.023121387283236993
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.027250206440957887
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.023121387283236993
