,delta_entropy_ast_edge_file_context
4,5.225381718204883
5,-4.930946329299997
19,4.620399907924107
20,-2.498929563690935
21,-2.398130455697851
28,-1.6047614566565274
32,1.7082746053405808
33,-1.5200860183255398
46,4.595551649424501
47,-4.595551649424503
52,2.0375410185093403
53,-2.608711159978809
91,1.9277398714964478
92,-1.419378800148918
136,1.7949081586437918
138,-1.9542054660572103
142,2.7265227269544927
143,-2.712878925334061
144,2.902883150200705
145,-2.7849213893813887
148,2.2981150077083403
149,2.7798103187894254
150,-5.567973766072353
166,1.3451844217078683
167,-1.8008248864274388
181,1.5820515331199942
182,-1.9568039305593712
186,1.408936764915961
187,-1.3990055188900024
221,1.3314169209719775
222,3.747595020187215
223,-5.470270893306243
227,1.7692012546374718
228,-1.385828954766521
310,-1.719274179658746
316,2.0393589758214765
317,-1.7413933018080123
329,1.7824550765061575
339,2.105152247932916
340,-1.6370690190963044
347,1.7167021665413988
348,-1.9964758608607434
374,1.3340375333719
376,1.5198120216767306
377,-1.3630488277803154
385,2.0494830447504753
386,-1.7312368732636427
408,4.711521083407451
409,-4.514558952560711
411,4.747399346010832
412,-4.942184982734171
492,5.129616279371127
493,-4.614578918180941
556,5.485351326512731
557,-4.86406308330403
559,2.3215428011113177
560,-3.4786863183028007
596,1.5152010091855637
597,-1.568026297893506
600,5.035701501208653
601,-5.055872238795241
641,2.8310760259450936
642,-2.3229220904994703
714,5.446887295146065
715,-4.97687930958373
749,5.19846259407339
750,-5.079905999367463
842,1.3672817715219345
856,1.4214910983500708
860,1.4521567526989454
874,2.5641608702023326
875,-2.1174201527192875
880,2.152439199732213
881,-2.591633587703342
888,1.5232313165782165
889,-2.6315277229486553
890,5.569917255761483
891,-5.035353853278189
899,2.0244450687588715
900,-2.0143604101365584
917,1.7455736303926135
918,-1.5420798458283176
948,1.5013402734258094
949,-1.4261177585374625
1040,4.775587328092342
1041,-4.979360367823164
1061,-1.4426223471079804
1118,1.3288487015509425
1144,1.4141449319194037
1150,1.4508282672402726
1151,-1.4489499539444937
1160,1.6128292819122545
1172,-1.39149890901584
delta_entropy_ast_edge_file_normalised,"4       0.874207
5      -0.869284
19      0.795612
20     -0.890137
46      0.791333
47     -0.791333
111     0.203530
149     0.694953
150    -0.827592
169    -0.176447
222     0.867112
223    -0.836540
375     0.183200
408     0.822554
409    -0.729352
411     0.850032
412    -0.871265
456     0.262433
492     0.834118
493    -0.784440
556     0.818655
557    -0.837569
600     0.959560
601    -0.839516
714     0.852099
715    -0.744317
738    -0.219381
749     0.785894
750    -0.746238
779    -0.187825
890     0.818220
891    -0.771872
918    -0.237684
945    -0.204164
1002    0.186408
1040    0.855080
1041   -0.820852
1108   -0.178693
1109    0.244932
1157    0.192993
Name: delta_entropy_ast_edge_file_normalised, dtype: float64"
