,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,93.0
delta_entropy_ast_edge_file_normalised,40.0
delta_entropy_token_file_context,43.0
delta_entropy_token_file_normalised,36.0
delta_entropy_token_no_keywords_file_context,43.0
delta_entropy_token_no_keywords_file_normalised,35.0
delta_entropy_token_no_keywords_no_numbers_file_context,41.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,35.0
number_of_commits,0.0
commit_count,1211.0
delta_entropy_ast_edge_file_context_ratio,0.07679603633360858
delta_entropy_ast_edge_file_normalised_ratio,0.03303055326176713
delta_entropy_token_file_context_ratio,0.03550784475639967
delta_entropy_token_file_normalised_ratio,0.02972749793559042
delta_entropy_token_no_keywords_file_context_ratio,0.03550784475639967
delta_entropy_token_no_keywords_file_normalised_ratio,0.028901734104046242
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.033856317093311314
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.028901734104046242
