,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,530.0
delta_entropy_ast_edge_file_normalised,286.0
delta_entropy_token_file_context,279.0
delta_entropy_token_file_normalised,277.0
delta_entropy_token_no_keywords_file_context,285.0
delta_entropy_token_no_keywords_file_normalised,272.0
delta_entropy_token_no_keywords_no_numbers_file_context,282.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,281.0
number_of_commits,0.0
commit_count,9856.0
delta_entropy_ast_edge_file_context_ratio,0.05377435064935065
delta_entropy_ast_edge_file_normalised_ratio,0.029017857142857144
delta_entropy_token_file_context_ratio,0.028307629870129872
delta_entropy_token_file_normalised_ratio,0.028104707792207792
delta_entropy_token_no_keywords_file_context_ratio,0.028916396103896104
delta_entropy_token_no_keywords_file_normalised_ratio,0.027597402597402596
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.028612012987012988
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.028510551948051948
