,delta_entropy_ast_edge_file_context
0,3.916582218415383
1,-3.9355141714764623
2,-1.576365010105611
3,1.576365010105611
4,-1.8981824364199782
6,1.221193362372608
11,1.595661043105015
12,-1.547299840160442
13,1.5414882133060543
14,-1.5282400070430922
18,3.2746879390768995
19,-5.516552332688389
21,2.297289095098817
23,3.720175521464345
24,-3.51675267700933
25,-1.77398945419539
26,1.7030782151414332
27,3.5876639160632866
28,-3.695903872264513
29,-2.0082461006449512
31,1.8242150327852897
32,-1.9207896476395365
36,-1.9781420695800973
39,2.0064380687979173
40,-1.9015860702449667
44,1.180081756679955
46,-1.385442519391407
52,1.1942125873881297
53,-2.3221551043331923
54,2.176159724227633
56,-2.815583370657964
57,1.93426375149389
60,-2.1438152649251982
62,1.5006015376182296
66,2.1481108767475265
69,-2.332390727207178
77,5.469871797051352
78,-5.469871797051352
101,-1.5562310747949257
104,1.5989547824127577
105,-1.8916417275529525
106,1.2429668727653196
107,-1.1616725879992353
115,1.7412758466750948
116,-1.3133173276486632
125,-1.2113909257756617
135,-1.2226735405950278
147,5.225231891521409
149,-3.902494636749351
150,3.902494636749351
151,-5.295655394674455
154,1.5055716428224621
155,4.368803632220822
157,-5.329244055976109
164,1.2656924552442153
165,-1.619827262833636
172,-1.2521952164071606
176,1.8204849735987074
177,-1.6010839916315611
180,1.8351841799114923
181,-1.3893490617796629
189,1.331458752165271
190,4.368803632220822
191,-5.27718732416478
201,5.44705970939562
202,-5.398734445430972
219,1.78481636649411
222,5.328726160878075
223,-3.640223928941851
225,-2.1119037832321617
247,1.6213190594610152
248,-1.707042125551947
249,1.3829794931831576
250,-1.3975490216682307
257,-1.319739572544175
258,1.4729859619375694
263,1.4412659941170896
264,-1.1928796260704946
296,-1.7706611106896828
300,1.913462433695724
301,-2.7831306703470156
307,4.983852617287737
308,-4.95420318781077
316,-1.3651024906122688
320,1.9722821689913062
328,1.5556821141672637
329,-1.4017904868919266
361,1.1887378112250437
378,1.1985196021418032
386,1.5422645857626236
387,-1.5009384458888384
405,-1.3133444440674165
406,1.46659083346081
415,1.4458576221725208
448,2.345888621664369
450,-1.9996734842629331
456,1.8598014036020656
457,-2.0257878249456756
465,1.7422443652330442
466,-1.6888690037598344
479,4.336273843350395
484,-5.264575371316523
488,4.910034931563851
489,-5.143468358761725
492,5.432235099804077
493,-4.64195815007618
499,1.59352376499048
500,-1.6445037252761354
504,5.053063689631169
506,-3.437991518191283
507,-2.024198761572636
509,2.9710383628126333
510,-2.8231633488909402
513,5.212512262616622
514,-5.781914227642851
516,1.4771347963133135
517,-1.5903482595990397
532,5.472553019058
533,-5.371170304170482
534,1.1993650756652965
535,-1.2271104683149625
558,4.882122360540825
559,-5.753134353765958
577,5.457497532447047
578,-4.872311727278409
587,1.7187045114974555
590,-1.860154414641939
597,-1.7314785321530257
598,1.5497493104612006
600,-1.413737913904921
646,1.8627261346830202
647,-1.959899011574772
655,1.6727250027214955
656,-1.4403791281061995
678,1.4081655867013785
679,-1.3452610651917114
683,1.6476823914281518
684,-1.6410250419995336
701,1.7034616492006838
702,-1.6349102110418694
711,1.3165389688340818
718,-1.2829870467469795
727,2.3420541877003664
748,-1.2349221374320765
769,1.3218550139388148
770,-1.2961009577196556
773,1.239946545625628
776,2.436308646037782
777,-2.518789147179597
780,1.7512897393495614
781,-1.7073774808731694
783,1.2497447458238184
784,-1.4690104911290947
791,1.6309207289334475
792,-1.802653476350228
820,1.6000300852902256
821,-1.4223008761397198
827,2.1464841293396884
828,-2.1975763452186072
850,-1.1954503051015715
862,5.540119092203763
863,-5.556138329736821
886,2.4083815791073713
887,-2.2032978803478267
892,1.6926485299567724
893,-1.3103899663022387
896,-1.1555245932696643
917,-1.2742962414526744
918,1.2262250660141119
919,-1.2259512765676757
926,1.2167582045655267
927,-1.502591570808696
936,-1.2458650701517051
948,1.9453137692716955
949,-2.585871618469557
980,1.2098728701757109
988,-1.2198696789651198
1022,1.681815642599668
1023,-2.0238485353967555
1030,-1.205519937108524
1034,1.4204272848377284
1035,-1.4192904151631658
1038,2.364816039469507
1039,-1.8520017024399147
1054,-1.2188387309428217
1060,-1.4056463358003342
1064,-1.171614959530051
1065,1.171614959530051
1066,-1.227377111179762
1088,1.3435862841185653
1098,1.6600331544033853
1099,-2.1489842747558474
1104,1.2011218613037853
1105,-1.4979466088036135
1106,1.7171410133845124
1107,-2.003720597603881
1113,1.6469577290925301
1119,-1.2608193440711863
1124,1.4930802090927404
1150,1.7843781479037846
1151,-1.7363633907625975
1157,-1.421304675369452
1166,-1.5937160822531977
1178,2.3172291962122613
1180,4.1299979713055
1181,-4.133902551571939
1187,2.165373867014481
1188,-2.424262577965693
1204,1.1722165951109194
1209,2.2475755603216383
1210,-1.8161111848637013
1211,1.8202030823343298
1212,-2.3552863531960195
1222,5.495273092222995
1223,-3.5680843243447145
1224,-2.0554803827497903
1226,1.6918501133623485
1228,-2.1650396878603546
1229,2.1221668816604002
1230,-2.2176574284135717
1234,1.2780709715340794
1235,-1.5390639150558885
1274,1.7166857677841492
1276,-1.334738362886827
1278,1.98870824887188
1279,-1.9418132418820782
1283,1.6329136113631606
1284,-1.8516958880083292
1285,5.560436069427169
1286,-5.715069524733759
1314,-1.346261689467411
1319,5.2483536837191
1321,-4.347458260037261
1322,-1.3850104205680172
1324,2.647234507292
1325,-1.4287292080323346
1330,1.3400034003791197
1350,2.043024376937263
1352,-1.229096810095221
1365,-1.4191182519154095
1371,2.876322378572704
1372,-1.3975918904745042
1373,-1.405765034096044
1397,1.339208778634669
1398,-1.81465260840824
1404,1.564064322578674
1412,4.8841111979700385
1413,-5.557305351782434
1435,1.8117139700769114
1436,-1.4390810898891555
1441,1.219213421482809
1456,5.60460565607563
1457,-5.043481905098976
1488,-1.3374601389399692
1491,1.6704465581340706
1492,-2.2001850441014743
1495,1.4943649543767332
1496,-1.4947642461817132
1503,2.146607036684697
1504,-1.4704553663907542
1521,-1.260633090910532
1525,1.9432219891624136
1526,-1.8084419961163505
1542,4.959050836479531
1543,-5.051281207470599
1550,-1.1924145600639768
1576,1.1999092416012775
1582,1.197191580427373
1583,-1.5255075260264446
1604,2.213407282060827
1605,-2.2177841856042044
1606,2.6059724468464096
1607,-2.955277180362153
1609,5.958404619937205
1610,-5.542490142827605
1611,5.542490142827605
1612,-5.385434849404057
1617,1.9139621200236019
1618,-1.8348968290513177
1620,1.338115653856912
1621,-1.526441407368412
1622,2.1203189208492885
1623,-2.1352110761158016
1632,1.805785829647135
1633,-1.9518283926208189
1677,5.630989097658559
1678,-5.090299620718431
1689,2.475785014863772
1690,-2.329675305490609
1702,2.012677425699964
1703,-1.920210376829128
1705,5.624133076557633
1706,-5.613349322568968
1717,-1.1690962321023903
1731,1.653461900739606
1739,1.3120869649576514
1743,2.0776794876720377
1744,-1.718426382440356
1746,1.2197515167865776
1773,2.59767852506444
1774,-2.633492151740546
1785,1.567699589696506
1786,-1.1641907092637327
1790,-1.608052631056239
1798,1.4507846138535467
1799,-1.9222421718923433
1802,1.949939484056173
1804,-1.6301899155749324
1848,2.4178756788762636
1849,-2.0264197268357242
1893,2.260442516947472
1894,-1.7641351521282056
1906,1.8528260175439017
1907,-1.9220975009716739
1950,2.466920490685065
1951,-2.7267718181587233
1957,1.3770406290480988
1960,1.7595625916188062
1961,-2.100203441501363
1971,2.518354683685013
1972,-1.9093977489330247
1978,3.5114158803618487
1979,-2.8990150033657773
1984,5.419321257179891
1987,-4.552564487199249
1989,4.348106596737195
1990,-5.571936488550358
1999,1.5535102574266055
2000,-1.4925780177799364
2002,-1.1540178690055694
2003,1.164613655514521
2007,3.4012173700626818
2008,-3.037572063602486
2016,4.242423101712792
2017,-5.458728420849037
2023,4.569653890126839
2024,-5.720991056446349
2046,1.7100220628696854
2047,-1.7756315411527326
2077,3.82740622271812
2078,-3.481922690841422
2085,2.079715924526345
2086,-1.697013750362478
2098,-1.6471629800313354
2102,1.244805766907224
2103,-2.0121604695715667
2104,2.0840716146250324
2105,-2.3464694661692054
2119,-1.4202325597026948
2135,-1.482438022201873
2146,1.3613342343777604
2150,5.147238577379334
2151,-4.995175113756937
2154,1.2304012508976525
2155,-1.1559019697905013
2160,1.239302772840647
2161,4.252445347754559
2162,-5.072886905328836
2164,-1.1860508896391506
2191,1.369628211614569
2195,1.4840226548196314
2196,-1.7925540216253393
2214,2.164633640233618
2215,-1.5211590725699136
2220,1.3918799956028065
2221,-2.3488694235703447
2229,1.5475369319525187
2230,-1.7101859476745487
2232,1.2202746958204165
2235,1.9711922242932949
2237,-2.0485912686140613
2238,1.8352492366499416
2240,-1.9136514223324115
2244,5.0809380923995455
2245,-5.521504497446903
2278,1.2398077036049957
2280,-1.5132849215795083
2318,4.860392845058564
2319,-5.780565346978607
2327,1.5531036401413574
2328,-1.5459338087375136
2333,1.454581108636057
2334,-1.2173848372022746
2338,5.395248117939745
2339,-4.988655658853769
2343,2.105929756786238
2344,-1.7985226420705387
2372,2.200871638390497
2374,-1.2188666205272227
2378,-1.7784940290615163
2418,4.949867492648047
2419,-5.467695609256722
2433,1.525072843017333
2435,4.143045227136294
2436,-5.467695609256722
2437,1.3062892795348802
2438,-1.3035871652968005
2441,3.518068024398993
2442,-5.303008743056063
2445,1.8531546280748603
2446,-1.6842493047385407
2448,1.3672172519659935
2449,-2.20868960845717
2450,1.4612684438729495
2451,-1.4495339556361895
2466,1.997880363781464
2467,-1.1775139048386514
2475,1.5324869075870904
2496,1.269422708297797
2497,-1.2842228999691967
2516,1.6621392265773514
2517,-1.165416530796107
2534,2.157727236725808
2535,-1.8335145250694265
2541,1.309150548296499
2545,1.7322398637707836
2546,-1.8533669995945128
2557,1.990015152843973
2559,-2.470367756096909
2560,2.459732732523783
2561,-2.236126420574666
2562,1.2416307579393884
2563,-1.6037661724590784
2591,1.356494900848614
2603,-1.1614080126529664
2648,2.166826073815101
2649,-1.916627620502326
2652,4.832934770977471
2653,-5.289191869144126
2677,2.8288012631909814
2678,-2.3897390650321753
2687,1.2109529070589886
2705,1.276765027042145
2706,-1.8839934620289311
2750,2.3407092159768976
2751,-2.392277573321456
2757,5.361155387032868
2759,-5.5125286664977455
2761,5.357038221332355
2762,-4.618136991432462
2769,-1.2292777512594455
2771,5.756921634441675
2772,-4.8242875649641865
2775,1.6951536879817923
2777,-1.555871006777871
2784,-1.593429299651869
2785,1.5889651508219815
2786,-1.6376650358804596
2799,-1.7064825617454638
2801,1.170387985899122
2807,1.2343345742043113
2810,-1.1910575984447274
2811,1.482200818285743
2812,-1.4931747842869143
2821,5.6533564150778846
2822,-4.656602493189966
2825,5.045468311807333
2826,-5.132678281310028
2921,-1.5663903189011128
