,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,52.0
delta_entropy_ast_edge_file_normalised,32.0
delta_entropy_token_file_context,172.0
delta_entropy_token_file_normalised,31.0
delta_entropy_token_no_keywords_file_context,191.0
delta_entropy_token_no_keywords_file_normalised,33.0
delta_entropy_token_no_keywords_no_numbers_file_context,199.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,33.0
number_of_commits,0.0
commit_count,2224.0
delta_entropy_ast_edge_file_context_ratio,0.023381294964028777
delta_entropy_ast_edge_file_normalised_ratio,0.014388489208633094
delta_entropy_token_file_context_ratio,0.07733812949640288
delta_entropy_token_file_normalised_ratio,0.01393884892086331
delta_entropy_token_no_keywords_file_context_ratio,0.08588129496402877
delta_entropy_token_no_keywords_file_normalised_ratio,0.014838129496402877
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.08947841726618705
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.014838129496402877
