,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,321.0
delta_entropy_ast_edge_file_normalised,106.0
delta_entropy_token_file_context,363.0
delta_entropy_token_file_normalised,81.0
delta_entropy_token_no_keywords_file_context,366.0
delta_entropy_token_no_keywords_file_normalised,77.0
delta_entropy_token_no_keywords_no_numbers_file_context,370.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,78.0
number_of_commits,0.0
commit_count,2224.0
delta_entropy_ast_edge_file_context_ratio,0.1443345323741007
delta_entropy_ast_edge_file_normalised_ratio,0.047661870503597124
delta_entropy_token_file_context_ratio,0.16321942446043167
delta_entropy_token_file_normalised_ratio,0.03642086330935252
delta_entropy_token_no_keywords_file_context_ratio,0.164568345323741
delta_entropy_token_no_keywords_file_normalised_ratio,0.03462230215827338
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.16636690647482014
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.03507194244604316
