,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,109.0
delta_entropy_ast_edge_file_normalised,67.0
delta_entropy_token_file_context,62.0
delta_entropy_token_file_normalised,62.0
delta_entropy_token_no_keywords_file_context,62.0
delta_entropy_token_no_keywords_file_normalised,62.0
delta_entropy_token_no_keywords_no_numbers_file_context,62.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,62.0
number_of_commits,0.0
commit_count,3500.0
delta_entropy_ast_edge_file_context_ratio,0.031142857142857142
delta_entropy_ast_edge_file_normalised_ratio,0.019142857142857142
delta_entropy_token_file_context_ratio,0.017714285714285714
delta_entropy_token_file_normalised_ratio,0.017714285714285714
delta_entropy_token_no_keywords_file_context_ratio,0.017714285714285714
delta_entropy_token_no_keywords_file_normalised_ratio,0.017714285714285714
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.017714285714285714
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.017714285714285714
