,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,306.0
delta_entropy_ast_edge_file_normalised,119.0
delta_entropy_token_file_context,72.0
delta_entropy_token_file_normalised,89.0
delta_entropy_token_no_keywords_file_context,73.0
delta_entropy_token_no_keywords_file_normalised,90.0
delta_entropy_token_no_keywords_no_numbers_file_context,72.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,88.0
number_of_commits,0.0
commit_count,3500.0
delta_entropy_ast_edge_file_context_ratio,0.08742857142857142
delta_entropy_ast_edge_file_normalised_ratio,0.034
delta_entropy_token_file_context_ratio,0.02057142857142857
delta_entropy_token_file_normalised_ratio,0.02542857142857143
delta_entropy_token_no_keywords_file_context_ratio,0.02085714285714286
delta_entropy_token_no_keywords_file_normalised_ratio,0.025714285714285714
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.02057142857142857
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.025142857142857144
