,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,142.0
delta_entropy_ast_edge_file_normalised,135.0
delta_entropy_token_file_context,115.0
delta_entropy_token_file_normalised,128.0
delta_entropy_token_no_keywords_file_context,74.0
delta_entropy_token_no_keywords_file_normalised,128.0
delta_entropy_token_no_keywords_no_numbers_file_context,73.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,128.0
number_of_commits,0.0
commit_count,3107.0
delta_entropy_ast_edge_file_context_ratio,0.045703250724171224
delta_entropy_ast_edge_file_normalised_ratio,0.04345027357579659
delta_entropy_token_file_context_ratio,0.03701319600901191
delta_entropy_token_file_normalised_ratio,0.04119729642742195
delta_entropy_token_no_keywords_file_context_ratio,0.023817186997103314
delta_entropy_token_no_keywords_file_normalised_ratio,0.04119729642742195
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.023495333118764082
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.04119729642742195
