,delta_entropy_ast_edge_file_context
3,2.3849270873969797
4,2.0
5,-5.640963454113773
6,2.0579779716613293
8,-1.8263126375015863
13,4.642221289024302
14,-4.868976113397544
16,5.057683443271891
18,-4.642221289024302
32,5.035549713367313
33,-5.003527307952156
36,5.248363205481939
37,-5.596132886691082
68,1.8968028363796914
78,4.77872940721223
79,-5.000378343218658
95,1.7544301993710667
99,3.6270800905500313
100,-3.593206605512348
101,-2.247653436635839
153,4.9273656758163185
154,-5.120229535945844
175,4.987881625756792
176,-4.987881625756792
213,5.015782153418552
214,-5.087680931587209
219,-2.120606031249401
253,1.686525418983555
255,-1.9336292251677358
256,1.9336292251677358
257,-1.7495536794445579
264,4.960770425673716
265,-5.095135194725445
305,2.6750509609320323
306,-2.6750509609320323
351,4.641263719096998
352,-4.869322742619308
371,4.629846620960082
372,-5.225371475455084
390,3.7173824043485206
391,-3.472647140169208
393,4.944326306595489
394,-4.612038538119118
397,4.715024899224107
398,-3.507149999564497
399,-1.6819115712103043
410,1.8622619498797466
417,5.11148960134021
418,-5.119410698187145
419,2.071816788107305
421,-1.721794087521697
425,-1.9441650048167127
443,5.238385072047428
444,-5.301794954238112
447,1.9690491154207774
448,-3.017807572131486
474,2.2070924184259466
475,-1.6833635916916787
480,4.8287310244909225
481,-2.2516291673878226
482,-2.8483848921694386
497,2.2629222790378147
498,-1.9274808162596129
501,4.56713815361057
503,-5.191906888039739
504,5.191906888039739
505,-5.186712050006676
512,-1.892690520981708
523,-2.0579158349556006
524,2.262105424000924
528,-2.041393576277133
539,5.334015999416969
540,-3.130772911675833
541,-1.5591548608558
589,5.166963971691406
590,-4.727575429449345
592,4.32894288138645
593,-5.124224606893721
619,-1.6952720865680497
638,4.711388098950756
639,-5.479719665848063
673,1.815805448544725
678,-1.6112572276586565
687,1.6338679402140526
691,1.8121803243265657
692,-1.6895858469120313
702,3.996281907200791
703,-4.939257956614187
704,1.5670424774668097
706,-1.5993503650010645
714,-1.8930694457982324
820,2.073008156830099
821,-1.7262125053639803
828,1.6128107963751388
852,4.677282363281689
853,-4.114369445886756
855,-1.8099558137844851
888,2.007099740060192
890,-2.1534526232074183
891,1.669924679864921
896,1.8374344010424917
909,1.8679045269514791
912,2.517597775949573
913,-1.7167986537476219
940,1.5858242437782546
964,4.7307889165134345
965,-5.2697917882788
977,2.061960797327349
978,-2.061960797327349
981,1.7680976411946951
1014,-1.7978958147986526
1015,2.125992163588501
1016,-2.0372219288842217
1025,1.7516678913221138
1026,-1.7516678913221138
1033,1.662517419974482
1038,-1.9694714493588967
1039,2.11917757368679
1040,-1.76870276364417
1043,2.035901464518029
1050,4.737891618463216
1051,-4.745341813896459
1067,-2.0117603226709053
1074,-1.6427688623877021
1088,1.8205006668348276
1089,-1.6167837586083191
1090,4.994559861401648
1091,-4.751049189142457
1093,4.9994685209332
1094,-4.365398861165525
1103,1.9595696500821433
1160,-1.632722793454172
1186,-1.6281489730160712
1248,1.6044021100102879
1249,-2.042265721574359
1254,1.849138188835456
1255,-1.5626353412092002
1266,-1.5862856748681837
1267,1.586285674868184
1269,1.6619416733110053
1270,-1.5648047853195488
1271,1.564804785319549
1272,-1.564804785319549
1287,1.722303556481267
1288,-1.9720306785377777
1321,2.3585249893180054
1322,-1.7212081509880317
1323,-2.274526463518794
1333,1.6485701732188645
1337,3.306170651709188
1339,-4.130555940770508
1350,1.6485154001644426
1359,2.3465589265784392
1360,-2.291669194177042
1362,2.1912360931434347
1363,-2.1912360931434347
1378,-2.331706502125859
1391,1.7267938014255408
1392,-1.7569090227778927
1408,1.6422614390769266
1417,-2.4368216415292285
1436,5.043346620794149
1437,-4.727223939798082
1444,-1.6599478485972243
1470,-2.0046551110252078
1483,5.71173206830277
1484,-5.713256882511756
1501,-2.0546551188210227
1505,2.0675042503783514
1514,5.649707282402022
1515,-4.991870536351006
1520,1.5608236288740818
1521,-1.8295754742964745
1565,2.8032864858964257
1566,-2.2464922267481295
1576,1.953572197571737
1577,3.4677201004745006
1578,-5.244766631789344
1591,1.9878354179319533
1592,-1.5935279376848097
1594,1.637976467077194
1595,-1.56011640630879
1604,5.672071894031754
1605,-4.992033172220745
1608,-2.0635219406640073
1615,-1.8759204562503335
1618,1.594421945319343
1631,5.256064119645691
1632,-5.085278588065759
1647,2.0041702019577126
1650,1.5819900792205237
1655,-1.9198298866107808
1656,1.7599187479944811
1657,-1.9677382291218395
1706,5.140725765982855
1707,-5.2970910226969865
1721,1.6761691877950176
1723,4.536906579628803
1724,-4.771062978245059
1730,1.8610987508763825
1731,-1.875595000973366
1815,2.153532997644791
1816,-2.28565853055731
1828,2.218341428991342
1829,-1.6712872778725223
1839,-1.9222658185353454
1872,4.71683970998442
1873,-4.560346568771108
1887,4.0
1889,-4.549118519515201
1918,4.454145812580561
1922,-5.033980142681135
1940,2.7640879996816348
1942,-1.9568177605515105
1947,4.28671277886774
1948,-5.170676126567846
1949,5.170676126567846
1954,-5.19045494284013
1956,2.1638901352287547
1957,-2.203185848628453
1961,5.763726435669949
1962,-5.04346518960165
1973,5.076583457079588
1974,-4.272140159802107
2006,4.861273357833966
2007,-4.853949881485821
2055,1.577506097696927
2085,4.798179295665725
2086,-4.863869068622509
2135,5.2662618430551404
2136,-3.512318567805404
2137,-2.457184615379579
2149,1.774361641600902
2150,-1.5848808456940464
2152,4.863502911283953
2153,-3.305182907846109
