,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,374.0
delta_entropy_ast_edge_file_normalised,252.0
delta_entropy_token_file_context,203.0
delta_entropy_token_file_normalised,186.0
delta_entropy_token_no_keywords_file_context,192.0
delta_entropy_token_no_keywords_file_normalised,188.0
delta_entropy_token_no_keywords_no_numbers_file_context,190.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,192.0
number_of_commits,0.0
commit_count,3107.0
delta_entropy_ast_edge_file_context_ratio,0.12037335049887352
delta_entropy_ast_edge_file_normalised_ratio,0.08110717734148697
delta_entropy_token_file_context_ratio,0.0653363373028645
delta_entropy_token_file_normalised_ratio,0.05986482137109752
delta_entropy_token_no_keywords_file_context_ratio,0.06179594464113292
delta_entropy_token_no_keywords_file_normalised_ratio,0.06050852912777599
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.06115223688445446
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.06179594464113292
