,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,57.0
delta_entropy_ast_edge_file_normalised,35.0
delta_entropy_token_file_context,53.0
delta_entropy_token_file_normalised,38.0
delta_entropy_token_no_keywords_file_context,60.0
delta_entropy_token_no_keywords_file_normalised,36.0
delta_entropy_token_no_keywords_no_numbers_file_context,59.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,38.0
number_of_commits,0.0
commit_count,1851.0
delta_entropy_ast_edge_file_context_ratio,0.03079416531604538
delta_entropy_ast_edge_file_normalised_ratio,0.0189086980010805
delta_entropy_token_file_context_ratio,0.02863317125877904
delta_entropy_token_file_normalised_ratio,0.020529443544030253
delta_entropy_token_no_keywords_file_context_ratio,0.03241491085899514
delta_entropy_token_no_keywords_file_normalised_ratio,0.019448946515397084
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.031874662344678555
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.020529443544030253
