,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,394.0
delta_entropy_ast_edge_file_normalised,214.0
delta_entropy_token_file_context,178.0
delta_entropy_token_file_normalised,175.0
delta_entropy_token_no_keywords_file_context,178.0
delta_entropy_token_no_keywords_file_normalised,177.0
delta_entropy_token_no_keywords_no_numbers_file_context,181.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,178.0
number_of_commits,0.0
commit_count,9390.0
delta_entropy_ast_edge_file_context_ratio,0.04195953141640043
delta_entropy_ast_edge_file_normalised_ratio,0.022790202342918
delta_entropy_token_file_context_ratio,0.018956336528221512
delta_entropy_token_file_normalised_ratio,0.01863684771033014
delta_entropy_token_no_keywords_file_context_ratio,0.018956336528221512
delta_entropy_token_no_keywords_file_normalised_ratio,0.018849840255591055
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.019275825346112885
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.018956336528221512
