,delta_entropy_ast_edge_file_context
2,4.234290198431171
3,-3.943679447355644
4,3.9436794473556445
5,-3.9947759590190057
15,1.796736434444751
17,-1.796736434444751
25,3.1995166519786453
26,-3.9808696138207984
27,1.7560116294470705
29,-1.761284248605515
30,1.7612842486055147
31,-1.9516432394222152
35,-1.7646984819129257
37,1.76708851818604
39,-2.013535966849891
41,1.9662524061986144
42,-1.7249361911715102
44,2.1583289785515767
45,-1.8892584058269346
48,-1.576641963287999
107,-1.6447817328423546
120,-1.6573420187225607
122,3.0907782404764075
123,-2.280216946059904
145,-1.8541602560580568
146,2.920688152848065
153,1.413981035895431
162,-2.2813032516183807
163,1.9227542975350569
164,-1.3043570412143546
165,1.3538314851734592
180,-2.419674691175251
182,2.372706771351127
184,-2.2720890201316255
186,3.820912698996993
187,-4.0540964675097815
198,3.6526326953257895
199,-4.332619318852414
216,1.8544056687714572
217,2.4354317049518825
219,-4.12081731574686
229,1.930399425003422
233,-1.4153796370381722
234,1.7748092981203114
235,-1.8805521272824994
256,-1.4960433902861319
275,-2.0421246668469184
315,3.1209223033046656
316,-3.118567071637373
342,5.046780540769186
343,-4.905312077122774
347,3.803853824676717
348,-4.237432111632241
349,1.7878089719013575
351,-1.3665950990586166
353,2.5742532202553043
354,-2.0699096570953106
374,1.995658881783457
375,-1.3215203313892192
378,1.725496560139689
379,-2.2481805005987257
381,4.532575636074984
382,-4.102959138038731
390,1.6778459358765447
391,-2.0173944403555124
393,2.04184120367014
395,-1.6039366379712003
400,2.083926031235936
401,-2.0964526908101844
404,-1.4383933235476083
408,-1.5020054313154825
430,1.9959566165232774
431,-2.0410792130219626
435,-1.3358689952485747
438,1.284545282262883
471,2.039698971346633
473,-1.8297295906981272
480,1.3914249604116353
482,4.342318879259731
483,-4.561325739102375
486,4.801516462438777
487,-4.334133560579496
493,1.564771479416482
494,-1.5507596187988912
495,2.3306464844572563
496,-1.9064804763964527
532,2.262589600192215
533,-2.54658319024474
534,1.4450642646436096
535,-1.4230977053366742
536,1.4230977053366747
538,-1.574751288252978
539,1.3549811038803972
540,4.409789760136391
541,-4.916428992701391
542,1.9727946309169662
543,-1.9882005065523505
546,2.2941532554302557
547,-1.7499130295447822
560,-1.455738430700733
579,1.9691994843865008
581,-1.8204493990350958
597,1.5334909334677493
599,-2.558395340293879
601,2.0311561448893958
602,-1.5141693771060272
615,2.561594913992491
616,-2.536407174922956
637,2.2543441011854846
639,-1.734920081950801
656,5.750180063324736
657,-5.320554232706277
666,-1.3018107813904969
676,5.29769101682537
677,-5.609887337039521
701,-1.8038031462725455
711,-1.5891894584054693
716,2.0595219619220226
717,-1.598499731935029
729,2.1493551364756884
730,-1.564396340446213
752,1.5924089546965845
753,-1.335559869913078
769,-1.3568405445780076
774,2.176567297386037
775,-1.7610617072106827
788,1.773122305417305
789,-1.6610603131553634
790,1.6358735601458547
791,-1.5589957492098443
796,-1.664544103072445
797,1.636765708479373
804,1.4783009960316993
813,1.5737492704865166
815,-1.3184333514138658
827,1.354063316500782
837,4.541739982178228
839,-4.54352368460168
848,3.5057784697216117
850,-4.253449007449658
854,4.194637930880402
856,-4.353739702813197
867,2.0941971016203462
873,2.032830067278714
874,-2.101080955619409
876,1.7343422945010802
878,-1.3771381605044395
880,2.1393983096938047
881,-2.140172829314676
883,1.504871287806151
892,5.509352111113573
893,-5.743534115864071
901,-1.6359256223716772
936,2.3155319361797755
937,-1.7243525283466186
938,1.7243525283466186
