,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,1136.0
delta_entropy_ast_edge_file_normalised,467.0
delta_entropy_token_file_context,391.0
delta_entropy_token_file_normalised,453.0
delta_entropy_token_no_keywords_file_context,421.0
delta_entropy_token_no_keywords_file_normalised,450.0
delta_entropy_token_no_keywords_no_numbers_file_context,399.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,474.0
number_of_commits,0.0
commit_count,9390.0
delta_entropy_ast_edge_file_context_ratio,0.12097976570820021
delta_entropy_ast_edge_file_normalised_ratio,0.04973375931842385
delta_entropy_token_file_context_ratio,0.04164004259850905
delta_entropy_token_file_normalised_ratio,0.04824281150159744
delta_entropy_token_no_keywords_file_context_ratio,0.04483493077742279
delta_entropy_token_no_keywords_file_normalised_ratio,0.04792332268370607
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04249201277955272
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.05047923322683706
