,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,185.0
delta_entropy_ast_edge_file_normalised,176.0
delta_entropy_token_file_context,176.0
delta_entropy_token_file_normalised,168.0
delta_entropy_token_no_keywords_file_context,180.0
delta_entropy_token_no_keywords_file_normalised,168.0
delta_entropy_token_no_keywords_no_numbers_file_context,175.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,168.0
number_of_commits,0.0
commit_count,3635.0
delta_entropy_ast_edge_file_context_ratio,0.05089408528198074
delta_entropy_ast_edge_file_normalised_ratio,0.0484181568088033
delta_entropy_token_file_context_ratio,0.0484181568088033
delta_entropy_token_file_normalised_ratio,0.046217331499312245
delta_entropy_token_no_keywords_file_context_ratio,0.04951856946354883
delta_entropy_token_no_keywords_file_normalised_ratio,0.046217331499312245
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.048143053645116916
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.046217331499312245
