,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,343.0
delta_entropy_ast_edge_file_normalised,242.0
delta_entropy_token_file_context,278.0
delta_entropy_token_file_normalised,233.0
delta_entropy_token_no_keywords_file_context,311.0
delta_entropy_token_no_keywords_file_normalised,210.0
delta_entropy_token_no_keywords_no_numbers_file_context,292.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,211.0
number_of_commits,0.0
commit_count,3635.0
delta_entropy_ast_edge_file_context_ratio,0.09436038514442915
delta_entropy_ast_edge_file_normalised_ratio,0.06657496561210453
delta_entropy_token_file_context_ratio,0.07647867950481431
delta_entropy_token_file_normalised_ratio,0.0640990371389271
delta_entropy_token_no_keywords_file_context_ratio,0.08555708390646492
delta_entropy_token_no_keywords_file_normalised_ratio,0.0577716643741403
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.08033012379642365
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.058046767537826685
