,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,183.0
delta_entropy_ast_edge_file_normalised,39.0
delta_entropy_token_file_context,50.0
delta_entropy_token_file_normalised,46.0
delta_entropy_token_no_keywords_file_context,55.0
delta_entropy_token_no_keywords_file_normalised,41.0
delta_entropy_token_no_keywords_no_numbers_file_context,56.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,42.0
number_of_commits,0.0
commit_count,4416.0
delta_entropy_ast_edge_file_context_ratio,0.041440217391304345
delta_entropy_ast_edge_file_normalised_ratio,0.008831521739130434
delta_entropy_token_file_context_ratio,0.011322463768115942
delta_entropy_token_file_normalised_ratio,0.010416666666666666
delta_entropy_token_no_keywords_file_context_ratio,0.012454710144927536
delta_entropy_token_no_keywords_file_normalised_ratio,0.009284420289855072
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.012681159420289856
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.009510869565217392
