,delta_entropy_ast_edge_file_context
49,1.5164378608528901
57,2.195409597867442
58,-1.5820346513163224
66,5.0533891383302505
67,-5.789843021595114
75,1.26855349446494
76,-1.9837996146163297
77,1.7886718097771226
78,-1.4512200863177664
82,1.929666064397832
83,-1.187495056295086
87,-1.1424358283248504
115,3.137048905876397
116,-3.4369648391151215
122,1.1777205283564647
123,-1.177720528356465
129,-1.163647773400653
130,1.1827778344545354
154,-1.3513914998923564
169,1.448195070969818
170,-1.09443595129405
195,-1.0763308904110245
206,1.1909770446150918
207,-1.535074595817116
216,1.4329010789205165
217,-1.6672894239757945
219,1.501968020103269
221,-1.0896711421204182
224,1.5175622437039311
225,-1.090521218746805
227,1.9470428150346968
228,-2.162995028648522
270,-1.2074192478830827
275,3.421137300562604
276,-3.1231245395063683
301,2.1014931700550252
302,-1.8746285331991583
325,1.204348379865365
326,-1.0875189182729978
350,-1.60766402263993
351,1.5364904221556461
352,-1.7190339901902767
354,5.37995109717136
355,-3.6043790039237456
356,-1.3435894386386158
374,5.314134439838492
375,-5.134969405717671
381,1.2031049207670552
382,-1.1447310922335632
384,2.2521698674672237
386,-1.7839751337502032
390,1.2809438613920237
392,-1.0789337975223605
403,1.2885425795532601
404,-1.2849106965631671
406,1.2341479572308103
407,-2.0419735948871525
417,2.140446988651047
420,-1.8778919488517665
424,2.13255463282464
426,-1.9467996080917755
436,1.6869368106141989
437,-1.7113306545822025
440,2.492789070391096
442,-1.7737473833498436
453,1.733655501691115
458,-2.125631591360447
464,1.9625259582811894
465,-1.875869914670592
484,1.5178823594567308
485,-1.4681617594800866
486,1.6267319625532837
489,-1.5057639212860112
503,1.96746201467066
504,-1.9557226516696942
523,1.3376512383176153
524,-1.2261279503066504
538,1.1930568628056066
539,-1.6684746255403973
546,1.2795396032308348
556,1.8915649202295337
557,-1.4715081221682316
561,1.3180064491041912
562,-1.3859070163527565
580,1.270132871003033
581,-1.6071444899695608
582,1.8053886787039328
583,-1.5283851706269562
599,1.6154021705445634
600,-1.9326193926554525
602,1.2420082196863778
603,-1.161549421556749
606,-1.5731818133908244
616,1.6719201562259771
617,-1.618568278972507
626,1.608265805629975
627,-1.608265805629976
632,1.6985661257177005
634,-2.301096583718457
646,-1.6838773304083166
653,1.085856686701951
654,-1.4643425810460649
671,1.7001830899189154
672,-1.22416187971262
675,1.1629724289857712
676,-1.3617327862295037
686,1.450046422567962
687,-1.4386609000637969
699,1.631221644287797
700,-1.7537898033664887
708,-1.1470827094877454
715,1.5356600841036865
716,-2.1737749930302246
718,1.1064607411060088
719,-1.1045144078507736
740,1.3967435940952369
741,-1.8738431370742843
745,1.5240234895445526
746,-1.7767554916201989
757,1.603456770131059
758,-1.603456770131059
762,1.2030217515830905
763,-1.2608539221079074
764,1.572045422726522
765,-1.9082522436541136
815,-1.65858304162726
820,1.5784663867859867
821,-1.7474299976984784
830,1.4866828661506841
832,-1.6492294716151767
833,1.3523184975236258
834,-1.5210979175177681
848,1.58927027964975
849,-1.630765199887683
862,1.9036253502307288
863,-1.369550674639439
875,2.298335076536364
876,-2.3029742046574606
899,-1.1491420733831426
903,1.9345866348254686
904,-1.7594487401705396
907,1.6246009839958495
908,-1.6552882765467651
916,1.8339353055621463
917,-1.242235241962998
943,1.1902303465915933
953,1.3527428013392386
971,1.5460146465265194
972,-1.0800264418083618
985,1.595952732655125
986,-1.223776069266687
992,1.5031642154171467
1011,1.1804965086189956
1037,1.619125433783454
1038,-1.900803706875459
1045,1.6076784230750332
1046,-1.6829020866051807
1111,1.567491526327473
1113,-1.5674915263274727
1120,1.0761021778892896
1133,2.284617150902499
1134,-2.5087115262465685
1143,2.156702625515448
1145,-1.2850582232735874
1147,1.2850582232735874
1149,-1.0963135588071091
1175,1.411712453455979
1194,1.8185099564262626
1195,-2.029392306388476
1228,1.8938353924723903
1229,-1.580589381816306
1232,1.990821363725676
1233,-1.7569074833861835
1243,-1.5647348648760881
1250,1.4523289119499778
1262,1.1775253875877727
1263,-1.3374571414997076
1268,1.4773280268188902
1270,-1.8666969750536617
1320,1.1477311320905823
1326,-1.6959324354842726
1327,1.87114206789364
1328,-1.8708278293467924
1343,-1.970879828929685
1350,1.7858026964895526
1351,-1.5165820309675393
1365,1.8014492052403606
1378,2.5905950082647187
1379,-2.4028503037316384
1387,1.3962730814949609
1388,-1.546988216620793
1415,1.484279911501056
1421,1.8020937473525644
1422,-1.712097368398369
1441,1.8269638803293329
1442,-1.834797976823904
1450,1.8680940769008472
1451,-1.8563944591832704
1460,1.8762490315212759
1461,-1.474371453618109
1473,1.6269050639413123
1474,-1.5711637670737462
1476,1.5347300468056158
1479,-2.2334085923243894
1490,1.8801437042156772
1491,-1.9753691053625144
1504,2.275232613348072
1505,-1.7475185640617314
1526,1.5130083157577974
1531,1.6389889998477116
1532,-1.6732686250787205
1535,1.4317113864417084
1536,-1.1683832161749428
1552,2.1785462082959235
1553,-2.1899741223988203
1554,2.088928904808986
1555,-1.5727947956795045
1560,1.4076532482884536
1563,1.4920871352135974
1564,-1.3683091488323669
1566,1.3010403987594197
1567,-2.0454737991895104
1577,1.5233574981903026
1578,-1.6450645192183704
1590,1.8821489340139754
1591,-2.0819365728141577
1599,5.559634135102368
1600,-5.430377156091602
1609,2.1851935210466733
1610,-1.4904086508824417
1611,1.6276533088968852
1612,-1.9916629307004452
1613,1.3069186923225835
1614,-1.299724100818243
1617,1.272226251708
1618,-1.3895729217027615
1652,-1.3588424729133555
1664,1.734232644501346
1665,-2.0027536131555923
1688,1.3016368136387824
1697,2.1230358228094177
1698,-2.109701701791672
1703,2.20365501988193
1704,-2.267095455014712
1715,1.5404078494503777
1717,-1.5081839514785198
1720,1.4120110287556331
1721,-1.1153026663795231
1730,2.0725468975844192
1731,-2.229438270328623
1748,-1.4734088206401053
1757,1.8817692588635575
1758,-1.6236920572829519
1759,1.5638606192296352
1760,-2.233887988490427
1761,1.775243281557319
1762,-1.5285309337040922
1764,1.7991729786576809
1765,-1.7863221563168596
1772,1.1272451456296406
1773,-1.6977406033140086
1775,1.1671305411189312
1776,1.207698925742155
1777,-2.188803419225089
1780,1.8533619778661825
1781,-1.4587788653433282
1786,-1.266806299797932
1789,1.5206064743540573
1790,-1.3231228457464557
1808,2.175091480024458
1809,-2.487941361542218
1837,1.6672377500939435
1839,-1.1669175330706594
1850,1.8526448614164528
1851,-1.4144030563041892
1855,1.389536171621215
1856,-1.081103306945912
1866,2.042626361524229
1867,-1.7445897335830334
1869,2.1766966960890857
1871,-1.3769306615276395
1883,1.1491917764683377
1900,1.5642792732204907
1901,-1.5862242785244947
1910,-1.1252377570696313
1928,1.3148777171614352
1929,-1.138907314680428
1970,1.2811533599496965
1972,-1.5737442646505695
1976,4.841174927946265
1977,-5.512415651364417
2010,2.177409098889449
2011,-2.063764601478393
2017,1.5404759042390839
2046,-1.749492205122689
2055,2.2565945555777946
2056,-1.7042487811985418
2058,5.356706204921741
2059,-5.090332280910364
2064,5.46364431445764
2065,-5.346942678820391
2067,1.7906905804193896
2072,-1.9304765311959668
2084,1.4714992314636526
2085,-1.9626939369989298
2095,4.569089436971953
2096,-4.672231203850489
2101,2.009018383760566
2103,-1.4489329885134157
2119,2.220045362714516
2120,-2.866702664697585
2121,1.9213497351178868
2122,-1.7612164593153814
2133,1.4404485326137393
2134,-1.561836080720489
2139,1.9060920212507488
2140,-2.047896828027472
2151,-1.2160971366115776
2176,2.313340210770552
2177,-1.991410392585717
2182,1.761796552854611
2183,-1.9911899593953417
2193,2.5286263655794974
2194,-1.9156308793911565
2248,1.9423576118176262
2249,-1.5412582417420906
2284,1.4316333939344434
2285,-1.347904343602949
2294,-1.3694618577656947
2308,5.335792243968498
2309,-5.124938185165638
2314,2.2738413932903674
2315,-2.0126914395253195
2328,2.0133370134364874
2329,-1.959911673209097
2358,1.1276775022639058
2359,-1.2783445823331543
2365,2.1644097077759676
2366,-1.2089956421231034
2367,-1.1365158732960916
2371,1.4523615997610428
2372,-1.7247284523762505
2374,2.053230847841266
2384,1.459502548459879
2385,-1.4334413873989673
2410,1.1219051667020463
2417,1.3207914686077409
2420,1.0992063085604316
2421,-1.5795271320694333
2425,1.3919430546774685
2426,-1.1676422552421677
2430,1.1302099820831994
2431,-1.543761908567225
2432,1.8301359282081304
2433,-1.879597845173563
2439,1.7652088743988017
2440,-1.9609648371145212
2451,1.327780233788193
2454,1.1056864265663755
2455,-1.4519287275976902
2461,1.4018942572524131
2462,-1.6636669771846604
2464,1.2814465775195236
2465,-2.210955817765454
2467,4.74649812020118
2468,-5.065246401176091
2485,1.7236061833904883
2486,-1.9266544189486916
2507,1.46527227045637
2509,-1.814318980429937
2510,1.8675939549586287
2511,-1.874592841098773
2535,1.73015645856817
2536,-1.6972183053056904
2538,-1.0788752006533908
2550,1.6649948054063524
2551,-1.5250912891880972
2555,-2.078063844943675
2557,2.1485219338291945
2587,1.3574200850592484
2590,-1.4529819892742457
2594,1.20472082623429
2595,-1.0893877833811774
2598,2.221685424345703
2599,-1.3761240177162901
2601,1.4272337241765984
2603,-2.04481936342731
2615,1.1701188100732542
2648,1.3142670238642613
2649,-1.4178389339518334
2680,1.2494927407495247
2681,-1.2943913969929168
2683,2.3625582895915778
2684,-1.922767019480864
2696,1.3835743673073249
2697,-1.3891406273916016
2724,2.425127533338693
2725,-2.1014699308840408
2743,1.6312896318673982
2744,-1.6312896318673982
2767,1.365364019963634
2769,-1.9335810722833153
2777,1.911735225015518
2778,-2.224608566322981
2797,-1.3051916673737596
2802,1.482185915075788
2803,-2.112144749069852
2813,1.1078299612409843
2816,-1.8980429223845692
2834,5.335769914272334
2835,-4.877955860328131
2839,-1.1876497810497293
2841,5.589444798738837
2842,-4.862555113209935
2843,1.2952211043053214
2844,-1.8635584747339866
2847,-1.1136668287224074
2873,1.8608228159023088
2874,-1.7772844641270293
2888,2.0048897881905727
2889,-1.432450420620607
2907,1.7758502461382997
2908,-1.6522966768482417
2909,1.4270551890163596
2910,-1.520037130876297
2936,-2.028357015367959
2937,1.888678275244354
2947,2.157353522202475
2948,-1.933855007521616
2951,1.3964074469700236
2953,-1.6004289781114227
2961,1.8639286517812583
2962,-1.8355195374537168
2964,5.211340922772794
2965,-5.390842753804454
2975,-1.4272782772991777
3002,1.7911747990169364
3003,-1.5606783722142006
3007,1.586792807220898
3014,1.7526634286103353
3015,-2.008355796003732
3025,1.2082979258844277
3026,-1.3094486728775347
3033,1.0735606800026742
3048,1.6539421790767161
3049,-1.5081691483088264
3053,1.15028227398052
3055,-1.8905320158370071
3056,2.273149765559006
3058,-2.408638801660421
3059,5.481594021911786
3060,-5.354488234784991
3061,2.1848139418355443
3062,-2.2635657714367245
3087,1.4132804456650083
3090,-1.7537827441445064
3092,1.319848437308976
3094,1.0846012455404246
3101,5.429781994009632
3102,-3.7386148530093175
3103,-1.5179992294232454
3107,-1.9905398308627489
3112,1.6564699280219797
3113,-1.7623308863025942
3157,-1.158242994295959
3172,1.4564037311854499
3173,-1.6753355146890128
3174,2.1669676438891847
3180,-1.654600386942148
3188,1.1923058771764516
3194,-1.342012449058176
3206,1.4915543612531268
3207,-1.7707070997779952
3220,1.3592989096370147
3221,-1.197583475976162
3227,1.087488623891706
3233,1.263438472104169
3234,-1.22778956204034
3262,1.4991650112104975
3263,-1.6501314879066378
3287,1.3688553230886549
3313,1.5200625306087354
3314,-1.7136283449919918
3315,1.727318066467209
3316,-1.5709519825645302
3325,1.7272684454888885
3326,-2.098609164646972
3333,1.6572864160591827
3334,-1.2410798901134728
3336,1.5414496722319369
3338,-2.2244741757997004
3353,-1.396758154738742
3406,1.2531881117926122
3407,-1.2531881117926122
3413,1.8082441830980338
3415,-1.642816599304929
3425,1.7237516098518788
3426,-1.7237516098518788
3439,1.1746335270198518
3440,-1.176009901611235
3442,1.8892762844968742
3443,-1.7764629485702697
3449,1.2906975394623164
3479,2.093543187995156
3480,-1.761805411960768
3485,1.7876405137878368
3486,-1.7197826810401462
3511,1.849513872952204
3512,-2.2496054577396962
3534,1.1283107790167812
3536,-2.026450150084109
3538,1.4250514339363365
3539,-1.8606500522201626
3548,1.275483047097042
3549,-2.0029044657149453
3555,2.080549315906442
3556,-2.07451304162982
3560,1.1997869964803103
3584,1.4320272501450084
3586,-1.894641362973492
3591,1.1126919229851788
3593,1.594289270857256
3594,-2.0837931141057213
