,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,612.0
delta_entropy_ast_edge_file_normalised,171.0
delta_entropy_token_file_context,188.0
delta_entropy_token_file_normalised,221.0
delta_entropy_token_no_keywords_file_context,183.0
delta_entropy_token_no_keywords_file_normalised,204.0
delta_entropy_token_no_keywords_no_numbers_file_context,199.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,214.0
number_of_commits,0.0
commit_count,4416.0
delta_entropy_ast_edge_file_context_ratio,0.13858695652173914
delta_entropy_ast_edge_file_normalised_ratio,0.03872282608695652
delta_entropy_token_file_context_ratio,0.042572463768115944
delta_entropy_token_file_normalised_ratio,0.050045289855072464
delta_entropy_token_no_keywords_file_context_ratio,0.041440217391304345
delta_entropy_token_no_keywords_file_normalised_ratio,0.04619565217391304
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04506340579710145
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.04846014492753623
