,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,193.0
delta_entropy_ast_edge_file_normalised,203.0
delta_entropy_token_file_context,206.0
delta_entropy_token_file_normalised,204.0
delta_entropy_token_no_keywords_file_context,205.0
delta_entropy_token_no_keywords_file_normalised,200.0
delta_entropy_token_no_keywords_no_numbers_file_context,204.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,200.0
number_of_commits,0.0
commit_count,3878.0
delta_entropy_ast_edge_file_context_ratio,0.049767921609076844
delta_entropy_ast_edge_file_normalised_ratio,0.052346570397111915
delta_entropy_token_file_context_ratio,0.05312016503352243
delta_entropy_token_file_normalised_ratio,0.05260443527591542
delta_entropy_token_no_keywords_file_context_ratio,0.052862300154718926
delta_entropy_token_no_keywords_file_normalised_ratio,0.05157297576070139
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.05260443527591542
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.05157297576070139
