,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,355.0
delta_entropy_ast_edge_file_normalised,245.0
delta_entropy_token_file_context,350.0
delta_entropy_token_file_normalised,342.0
delta_entropy_token_no_keywords_file_context,370.0
delta_entropy_token_no_keywords_file_normalised,315.0
delta_entropy_token_no_keywords_no_numbers_file_context,351.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,337.0
number_of_commits,0.0
commit_count,3878.0
delta_entropy_ast_edge_file_context_ratio,0.09154203197524498
delta_entropy_ast_edge_file_normalised_ratio,0.0631768953068592
delta_entropy_token_file_context_ratio,0.09025270758122744
delta_entropy_token_file_normalised_ratio,0.08818978855079938
delta_entropy_token_no_keywords_file_context_ratio,0.09541000515729757
delta_entropy_token_no_keywords_file_normalised_ratio,0.0812274368231047
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.09051057246003094
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.08690046415678185
