,delta_entropy_ast_edge_file_context
1,1.4673833727553345
2,-1.4357646248725926
23,-1.8568710356296094
30,5.409059180415092
31,-4.938942461821858
38,1.4375886268852187
39,-1.9789378083115365
58,1.5784552124291316
59,-1.8701741610823466
62,4.8606476808804535
63,-5.109361710993946
93,1.8509814775908267
94,-2.2551574752052646
95,1.683821176379897
102,1.327368717791077
103,-1.910236521787116
104,1.629719860385431
105,-1.1917978927799087
114,2.325482578903574
115,-2.011879139311154
116,1.6661308362972043
135,1.1357116765457995
143,1.412222068173823
155,1.9568013801849777
156,-1.4644142652944452
158,2.1686050704916213
159,-2.282431282236079
160,1.181328315362599
161,1.5456190185414864
163,-1.5871055249583037
168,1.1148090691965509
169,-1.1292809299080186
173,1.5084758417517863
174,-1.6949059237405883
183,1.816346196733396
184,-1.4180784845836154
186,1.1984235351664951
189,1.397020643569725
190,-2.0474908276746997
192,-1.2023802049055012
272,1.39389454981628
277,2.163807676643075
278,-1.5731285417719647
293,1.313518478527967
295,-1.8207583085841326
305,1.8183166524336836
306,-1.5926088414376354
309,1.1710773437166688
310,-1.8864812935867974
325,2.2655686267267487
326,-2.402620822769917
335,1.2703742794379442
337,-1.468342144273479
339,1.2162709589291365
341,-1.5903568975329403
348,1.3482571620313513
350,-1.1288605980307107
359,1.3143393052700665
368,1.5286286100111057
369,-1.7445399358445175
409,5.1504638532238
411,-4.830645814690037
426,-1.2569074615916689
435,1.3938046076881079
436,-1.4175086760742588
453,4.622649929986629
454,-5.281194171485738
502,1.4641434409202985
503,-2.0711412852930167
521,1.9921330547546128
522,-2.9829010054124483
526,2.5987234556527925
527,-2.538971586714447
529,1.1399693048674826
530,-2.1518883942232425
533,1.9719855978259262
534,-1.937423257766271
535,2.0548701374367893
537,-1.6643503074453898
538,1.612029239343439
539,-1.7524530942828624
548,1.5708965074746746
549,-1.7689934044997608
552,1.8824810656334914
553,-1.8819670415996308
554,1.8819670415996306
565,-1.4090837517628754
569,1.2319814126323223
571,1.2240872646436043
572,-1.762918999328253
577,1.3944597635276588
578,-1.468028381862244
597,-1.8567908711513144
600,1.1110889715103065
615,1.497080037660631
616,-1.2904580503539331
621,-1.615099896663661
627,-1.5267163066085794
634,1.40747283873073
636,-1.9699692400132571
657,1.5006276321358691
658,-1.7373225494324722
661,1.6918580317717113
662,-1.4775121016446535
688,-1.1206034853897897
702,-1.3441502617005883
703,1.5499642560443032
704,-1.4596104615315961
740,1.451954167739542
741,-1.2724558267309973
791,5.236603147070379
792,-5.236603147070379
816,1.4335659494411268
817,-1.5727798247231386
888,5.148780587837467
889,-5.04997585681507
894,1.3374283367568482
928,1.8642534888156863
929,-1.6779202175140997
948,1.5274134525566976
949,-1.4400377469930445
955,1.735621649934588
956,-2.1625905449039005
957,5.356697726263478
958,-5.075641418397652
961,-1.3693494648780882
962,2.1849741724778857
963,-2.204338467259854
975,1.9903482455315185
976,-1.801378598758233
993,-1.2398049818787218
998,2.109185463336606
999,-2.010423783170455
1040,1.9045586379933308
1041,-2.3857987003402945
1072,1.8402811813607922
1073,-2.2676185736353283
1090,1.9420567322827054
1091,-1.251204212260726
1093,2.144420791973707
1094,-2.0504465861128334
1114,1.2400968920009472
1127,2.300138922294942
1128,-2.26689442897656
1133,1.8951407973995456
1134,-1.370629153352191
1136,1.618986036219027
1137,-1.370629153352191
1141,3.688259891410053
1142,-3.8114037892272217
1144,-1.251218351123584
1156,1.7224848070748067
1159,-1.2270061877309346
1160,5.062596033704684
1161,-5.192790608188981
1169,2.007256845700123
1171,-2.041863531141665
1172,2.0819525282896247
1173,-1.932232069087366
1188,1.5825916358813168
1189,-1.7759221813474244
1194,2.0155467318539984
1195,-1.5444710252503888
1200,1.48580039118802
1201,-1.3762045996909436
1228,-1.1719629438176271
1233,-1.5048645341477211
1240,5.235070706842565
1241,-4.849344993484509
1300,4.524379184848728
1301,-4.932725917652176
1325,-1.5659472103973382
1336,-1.1635807959246502
1339,-1.15475899568325
1354,2.1699568933854616
1355,-1.1941973598130646
1365,4.335509899857992
1366,-4.791889821057041
1382,1.9925153932076882
1383,-1.3714549593111989
1398,1.9880256860222711
1399,-1.7944418593531455
1402,1.2407101966459844
1403,-2.147722766365263
