,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,610.0
delta_entropy_ast_edge_file_normalised,217.0
delta_entropy_token_file_context,184.0
delta_entropy_token_file_normalised,115.0
delta_entropy_token_no_keywords_file_context,189.0
delta_entropy_token_no_keywords_file_normalised,116.0
delta_entropy_token_no_keywords_no_numbers_file_context,181.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,114.0
number_of_commits,0.0
commit_count,5151.0
delta_entropy_ast_edge_file_context_ratio,0.11842360706658901
delta_entropy_ast_edge_file_normalised_ratio,0.0421277421859833
delta_entropy_token_file_context_ratio,0.0357212191807416
delta_entropy_token_file_normalised_ratio,0.022325761987963502
delta_entropy_token_no_keywords_file_context_ratio,0.03669190448456611
delta_entropy_token_no_keywords_file_normalised_ratio,0.022519899048728403
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.0351388079984469
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.0221316249271986
