,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,92.0
delta_entropy_ast_edge_file_normalised,93.0
delta_entropy_token_file_context,88.0
delta_entropy_token_file_normalised,88.0
delta_entropy_token_no_keywords_file_context,88.0
delta_entropy_token_no_keywords_file_normalised,87.0
delta_entropy_token_no_keywords_no_numbers_file_context,88.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,87.0
number_of_commits,0.0
commit_count,4167.0
delta_entropy_ast_edge_file_context_ratio,0.022078233741300697
delta_entropy_ast_edge_file_normalised_ratio,0.022318214542836574
delta_entropy_token_file_context_ratio,0.021118310535157187
delta_entropy_token_file_normalised_ratio,0.021118310535157187
delta_entropy_token_no_keywords_file_context_ratio,0.021118310535157187
delta_entropy_token_no_keywords_file_normalised_ratio,0.02087832973362131
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.021118310535157187
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.02087832973362131
