,delta_entropy_ast_edge_file_context
0,-2.1341897255249047
12,2.2675712991347634
13,-1.8935189176307814
14,2.01104004892357
19,-1.8567559689402562
21,1.7811157987310315
22,-1.9309882817431863
23,2.1176043246742005
24,-1.8073195619622595
28,-1.7856693346831949
33,-2.228998751231604
43,2.2943045132396187
46,-2.056628181149125
47,2.1235523391829165
48,-2.131674722654611
60,2.0541036498110405
75,1.8700821966034926
76,-1.7230129020538492
87,2.1612243477835316
88,-2.0931308446496115
89,2.048538136115921
90,-2.123309701478884
92,1.7970685555660548
95,-2.3626031829779244
99,-1.7035649081472952
114,-2.2666067512170707
119,-1.8060176946368958
122,1.8913535811793287
124,-2.593150056673842
125,2.5931500566738417
126,-2.526898775232841
129,2.1617691055418886
130,-2.175336185114121
153,2.2289826447566177
154,-2.14800677134262
156,2.0571475125348444
160,2.101045135722207
161,-2.2808953774469556
176,-2.087776280986867
181,2.24711507363919
198,1.9583187416276218
199,-1.9907965450263587
233,2.1198423808491635
234,-2.436548026418046
238,2.040395914344031
239,-1.8922822972483804
245,5.398786774931807
246,-5.34920141300717
252,5.51429420978393
253,-5.589488276741302
257,4.794738510324972
259,-4.814667883599875
261,4.746449411811817
262,-5.03530059720356
267,2.162520487636379
268,3.443069673518811
270,-5.037969776035961
285,1.7056206964834733
287,5.138364467789615
288,-3.5252955500337544
291,5.0763712491562485
292,-5.739083836933881
307,2.373856148689224
308,-1.890246895312213
313,1.7391951462363704
314,-2.1206367670100432
330,1.91700995070607
331,-1.9151406283837935
333,2.144742408839428
334,-2.4885188392818076
335,2.2190453747994074
336,-1.9768549599606806
346,1.9768843060617607
347,-2.136767691043037
348,1.9106283726915347
354,2.0690625823280757
356,3.8553885422075354
357,-5.769618311115469
358,1.8357002752457923
368,-1.9859303992899444
370,2.0551506731751052
371,-2.1429426190679015
372,1.787580872204293
374,5.025127091874936
375,-5.117641319651307
381,-1.914452800753574
390,-1.7956200930031057
404,1.8540412831389865
426,1.9003986054215778
427,-1.7452254240785474
429,1.9931089972508396
430,-2.4195806901125048
438,2.048270882500666
443,-1.7710134861951392
452,5.657044597428838
453,-5.671387408017416
464,-1.793821061961677
465,2.258232794619982
466,-2.2497274814492125
473,-2.3683138714499345
485,-2.0962223091855035
486,1.8688655925596889
494,1.7149052224016708
495,-1.8714541488607508
496,1.8714541488607508
506,1.830500657473829
507,-1.7623552518774535
524,5.156123665542314
525,-4.638718977346417
532,2.059234071387726
533,-1.8813950155815506
