,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,469.0
delta_entropy_ast_edge_file_normalised,238.0
delta_entropy_token_file_context,169.0
delta_entropy_token_file_normalised,202.0
delta_entropy_token_no_keywords_file_context,162.0
delta_entropy_token_no_keywords_file_normalised,187.0
delta_entropy_token_no_keywords_no_numbers_file_context,160.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,199.0
number_of_commits,0.0
commit_count,4167.0
delta_entropy_ast_edge_file_context_ratio,0.11255099592032637
delta_entropy_ast_edge_file_normalised_ratio,0.05711543076553876
delta_entropy_token_file_context_ratio,0.040556755459563235
delta_entropy_token_file_normalised_ratio,0.04847612191024718
delta_entropy_token_no_keywords_file_context_ratio,0.038876889848812095
delta_entropy_token_no_keywords_file_normalised_ratio,0.04487640988720902
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.03839692824574034
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.04775617950563955
