,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,48.0
delta_entropy_ast_edge_file_normalised,40.0
delta_entropy_token_file_context,40.0
delta_entropy_token_file_normalised,47.0
delta_entropy_token_no_keywords_file_context,40.0
delta_entropy_token_no_keywords_file_normalised,47.0
delta_entropy_token_no_keywords_no_numbers_file_context,40.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,47.0
number_of_commits,0.0
commit_count,1025.0
delta_entropy_ast_edge_file_context_ratio,0.04682926829268293
delta_entropy_ast_edge_file_normalised_ratio,0.03902439024390244
delta_entropy_token_file_context_ratio,0.03902439024390244
delta_entropy_token_file_normalised_ratio,0.045853658536585365
delta_entropy_token_no_keywords_file_context_ratio,0.03902439024390244
delta_entropy_token_no_keywords_file_normalised_ratio,0.045853658536585365
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.03902439024390244
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.045853658536585365
