,delta_entropy_ast_edge_file_context
1,2.0836609908830184
2,-1.3642918943742677
16,-1.806617663020544
17,1.806617663020544
18,-2.1854047534288825
28,1.4772194832243586
29,-1.8507601623939745
41,-1.9463855024057524
68,1.7237967942315675
69,-1.984553520763859
109,1.6626165425931965
110,-1.682380164087236
147,5.072691941685781
148,-4.925882071188268
150,2.0782105128510486
162,-1.4296377152964863
172,1.7646402145627642
173,3.4782709925205637
174,-5.621950018765788
202,4.732408541220209
203,-5.223841018855396
239,1.6178883738380936
240,-1.4942463263343368
250,2.2135880832121657
251,-1.8047504437648323
264,1.4346340657216103
380,4.212516804606775
381,-5.077019370248818
385,4.671715645048199
386,-5.355421067827735
392,2.1675870213905766
394,-1.636113596872768
437,1.5787916894339558
438,-1.3663708123663083
461,3.3526156007887793
462,-3.7412306312504686
473,1.6541596342495066
474,-2.288895195798576
492,1.4785679170519677
495,-1.7742942707197256
502,5.1245358849860585
503,-4.522883677964657
534,5.263940907990352
535,-5.688328551127156
583,5.633527042613116
584,-3.360539147270635
585,-1.8298594870772726
642,5.122458251832507
645,-4.572834958168189
659,5.8668970898077895
660,-4.682007629376333
730,5.354927482356661
731,-5.610957495052376
750,2.157286601927936
755,2.929279991339313
757,-5.038265490679962
760,2.5832564412530665
761,-2.809213301165503
763,2.267814597725425
764,-2.0881531612197755
775,-1.6511089105275172
776,5.664660386665338
777,-5.630775031230858
784,4.638438032443909
785,-5.238989385403774
799,5.59928450568685
800,-5.609384632029714
819,5.099020358032505
820,-5.602496577248624
823,2.942423758879624
824,-2.7621556923210755
849,2.1170848015065657
850,-1.6692756728290772
873,4.578245997870831
874,-5.382524345587362
891,2.057489289176835
892,-1.979937031387157
899,4.991739396329168
900,-4.486081769653059
908,2.470675988549125
909,-2.434794241971116
937,-1.457248332239688
997,5.4844164377616185
998,-5.203276593304198
999,5.203276593304198
1000,-5.139992832867397
delta_entropy_ast_edge_file_normalised,"7      -0.188298
26      0.188531
29     -0.155132
56      0.172962
57     -0.156785
          ...   
997     0.840709
998    -0.770298
999     0.770298
1000   -0.762444
1011   -0.169851
Name: delta_entropy_ast_edge_file_normalised, Length: 73, dtype: float64"
