,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,86.0
delta_entropy_ast_edge_file_normalised,73.0
delta_entropy_token_file_context,45.0
delta_entropy_token_file_normalised,80.0
delta_entropy_token_no_keywords_file_context,48.0
delta_entropy_token_no_keywords_file_normalised,81.0
delta_entropy_token_no_keywords_no_numbers_file_context,49.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,77.0
number_of_commits,0.0
commit_count,1025.0
delta_entropy_ast_edge_file_context_ratio,0.08390243902439025
delta_entropy_ast_edge_file_normalised_ratio,0.07121951219512195
delta_entropy_token_file_context_ratio,0.04390243902439024
delta_entropy_token_file_normalised_ratio,0.07804878048780488
delta_entropy_token_no_keywords_file_context_ratio,0.04682926829268293
delta_entropy_token_no_keywords_file_normalised_ratio,0.07902439024390244
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.04780487804878049
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.07512195121951219
