,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,149.0
delta_entropy_ast_edge_file_normalised,77.0
delta_entropy_token_file_context,79.0
delta_entropy_token_file_normalised,66.0
delta_entropy_token_no_keywords_file_context,80.0
delta_entropy_token_no_keywords_file_normalised,65.0
delta_entropy_token_no_keywords_no_numbers_file_context,78.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,65.0
number_of_commits,0.0
commit_count,2079.0
delta_entropy_ast_edge_file_context_ratio,0.07166907166907167
delta_entropy_ast_edge_file_normalised_ratio,0.037037037037037035
delta_entropy_token_file_context_ratio,0.037999037999038
delta_entropy_token_file_normalised_ratio,0.031746031746031744
delta_entropy_token_no_keywords_file_context_ratio,0.03848003848003848
delta_entropy_token_no_keywords_file_normalised_ratio,0.031265031265031266
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.03751803751803752
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.031265031265031266
