,delta_entropy_ast_edge_file_context
0,3.5692596839623674
2,-5.498390605642416
6,1.5753532518509115
7,-1.4718701186675247
28,1.2381499910543292
33,1.084987175587984
36,-1.0911104794756818
42,5.477477954241665
43,-5.268948057303991
60,1.8845227316675115
61,-1.4424059975266643
67,1.4787730220079762
68,-1.4836721342882424
75,1.6950792920549742
76,-1.691466638106045
92,2.2323790014135105
93,-1.7654514822944853
100,1.2153671806870194
101,-1.4131178888953628
108,1.60679375525235
110,-1.567957014629731
126,5.058492857018317
127,-5.366216719855493
128,1.5595510198904052
129,-1.520691036148833
133,1.2360616945866911
134,-1.7733784944768378
136,5.551437149989233
137,-5.294721743602082
145,5.320126538336788
146,-5.533892810611237
151,1.979696154412902
152,-1.5919837892140336
153,1.664794932105821
154,-1.6983128554941769
155,1.6983128554941769
156,-1.9876960857427197
161,5.70425735585428
162,-5.566623373504959
178,1.82479796562548
179,-2.117679094329026
199,1.6712350286073059
200,-1.842294026600268
222,5.658883302909088
223,-5.122083444897839
233,1.975449989682725
234,-1.7553802554452118
250,1.2909397554254722
257,1.6461104332794463
259,-1.3837742749114206
267,5.4444347005840745
268,-4.929812304089755
280,1.1157340549303925
281,-1.59834500808054
282,1.5935766612948035
285,-1.606777841461324
297,5.100072320981853
299,-4.9367543896951895
308,1.403427668579007
310,-1.188681841541812
313,5.008232348140172
314,-5.1447770625639855
316,1.1927585570512322
317,-1.6103417598452126
333,1.4782516260842113
342,1.334007213813817
343,-1.330413481668523
348,4.969734959553284
349,-5.445212704484331
356,1.3889618180237537
357,-1.5190635989493098
362,1.3318793178646873
363,-1.637902967290386
370,1.3109366974819499
372,1.1262623116097457
373,-2.1228919797542005
384,5.640625295667807
385,-5.445212704484331
393,-1.169420736581116
394,1.4463330970547539
403,1.4416027047334719
404,-1.462981023817768
405,1.7867117447023242
406,-1.7087213962498116
409,-1.4052603564322057
436,1.2880789233985315
438,-1.6506645138849922
439,1.4816645514471771
443,-1.359773895338774
444,1.0551002094126805
445,-1.675562041240922
454,1.2479348037180067
455,-1.1509337256476029
477,-1.2030157855023056
483,1.40530994439536
484,-1.1778286872199573
494,1.683970916410196
495,-1.7689678608994854
496,1.497483556179361
497,-1.599422255765908
527,1.366470187014191
528,-1.2084193240037893
530,1.8232749286844296
531,-1.7475003840741958
533,1.0652282575324072
534,-1.437848259345321
542,-1.080751947398209
543,1.4379873539498491
544,-1.4449162595483205
581,1.0950993995182472
582,-1.3729742303906312
587,1.342322757704069
591,-1.4954458948941745
599,1.2728153718277104
600,-1.1866159141402246
604,3.4848377389470633
605,-2.9586601887366495
619,1.5376981038374415
620,-1.1197294081297464
632,1.4348480122772864
634,-2.1162943513766987
646,1.3185262015121977
647,4.311163771669915
648,-5.676133305087024
654,1.3287401902727192
655,4.260324136950665
656,-5.18124626033735
677,1.600716778749832
678,-1.9321336163644984
692,5.214606886035048
693,-5.470046136412821
703,5.409066276351128
704,-5.615341825968877
706,1.2583642917667133
707,-1.5351636402021072
716,2.2039639167805323
717,-1.9949981176449594
722,-1.2161387910284045
735,1.2158407056949991
738,-1.6967785649473233
740,1.1042888475905368
759,3.740281798476544
760,-4.10885333349035
794,5.29790016696983
795,-4.234030328835841
796,-1.1049099057754193
833,-1.378103719489291
848,1.2014407973035557
852,1.58939547339111
853,-1.5590268033689476
855,1.922180509187428
856,-1.9419239514528805
889,2.040888962094557
890,-1.603379785870492
907,1.5437394598557734
909,-1.5024506409210314
910,1.5024506409210314
911,-1.165484860343348
912,1.2351767685019004
918,-1.217642989372579
926,1.7223079680840414
927,-1.654241717605195
966,5.6319988527207885
967,-4.586824031674522
976,-1.2187829873084917
1011,1.1917344260010279
1056,1.62008873229333
1057,-2.2197080293497535
1064,1.5618828969345833
1066,-1.0846566537509075
1084,-1.0559028138038746
1086,2.70837118907947
1088,-2.4735142817536193
1093,1.7496504482346684
1094,-1.9209446445469789
1096,1.4445166386900672
1097,-1.1617286352086424
1098,3.688611692082549
1099,-4.016251168927236
1106,4.54889285471464
1107,-5.439077052819796
1115,1.8367533748617468
1117,-1.9133438278590806
1121,2.2867625774132034
1122,-2.645178994644956
1133,5.743790698515641
1134,-4.078517092690553
1135,-1.3596079933121752
1171,-1.0833614762682338
1189,1.383300844283446
1199,1.2664900719887666
1200,-1.597344246136855
1230,1.5935848719355328
1231,-1.8987741668904663
1268,2.8032225775456414
1269,-2.9650935446192106
1291,3.29698930962704
1292,-4.002821935410017
1293,3.002598414182388
1294,-2.9693348988365464
1357,1.5766551803778481
1359,-1.5585761574708616
1380,1.4939900059772655
1381,-1.7626889286896046
1408,1.0715929854053758
1413,1.2336021078307473
1418,3.0180958367697546
1419,-2.864861775861341
1421,1.2470461183382895
1424,4.477481807912931
1425,-1.1481932320316637
1426,1.1308330867219958
1427,-4.1110504844752525
1432,1.121459323072372
1433,-1.0499389122273115
1458,1.4403647312678118
1459,-1.4953193988467164
1460,1.2683062384522152
1467,4.803057537615204
1468,-4.857343811637854
1494,5.386138310860158
1495,-5.191683859626338
1504,2.678043461422987
1505,-3.2911984038674844
1511,-1.1107709308422977
1557,5.472742337613971
1558,-5.196066176655234
1564,2.8183458841033153
1565,-3.0978048448814186
1568,5.5312161721271735
1569,-5.273875489470977
1572,2.0590815996775005
1574,-2.7838907837903193
1575,1.4030007650749612
1576,-1.3189886456428033
1580,2.7732094703724264
1581,-3.1778294287813287
1582,5.372553850645608
1584,-4.692873514514391
1592,1.5969462199430722
1593,-1.5617455201909123
1619,-1.1359324680547047
1625,5.654304585085074
1626,-5.604706557618325
1641,1.4931641856436588
1642,1.4554465732341066
1643,-2.5787670230704
1667,1.7667290106122984
1668,-2.1380590387455856
1672,2.108907116917288
1673,-1.7667290106122984
1688,5.011834721672857
1689,-5.011834721672857
1717,5.351558196945841
1718,-5.300591743507158
1730,2.69636751731885
1731,-2.879868424238709
1772,2.1491813004857145
1773,-2.8552621957301656
1775,1.1568771383023195
1781,2.9542181231502016
1782,-2.349335898323489
1800,2.6381370039034597
1801,-2.996564564374792
1810,-1.2182960170099273
1811,1.480902282040355
1812,-1.5015448615101485
1828,3.127913527593831
1830,-2.162255230441942
1839,1.441283769363264
1844,1.529474986316889
1845,-1.568822822766525
1846,1.7468970507973178
1847,-1.8046930823043317
1867,-1.2266075062432211
1869,5.549509912131875
1870,-5.174389024311428
1875,1.1918613519528902
1901,1.0530012084751714
1909,3.051163335584666
1910,-2.8044478257989796
1935,-1.0482630644626705
1936,1.0606260807348624
1946,-1.155773764863742
1962,2.058250472902886
1963,-1.7224734937934358
1969,3.1413573045917174
1970,-3.2909426253587113
1978,1.8079098946841548
1979,-1.850236892822629
1993,1.741908605094146
1994,-1.9341231289229412
1998,1.0637630288499897
1999,2.398700796409658
2000,-3.262791264980493
2002,-1.1592893100643185
2003,3.476910666740608
2004,-3.565534120372272
2008,3.457240176581031
2009,-3.5557618520227514
2010,3.27191671416028
2011,-3.1242799905336045
2032,3.187588390294648
2033,-2.9724028064602956
2036,3.635826233627464
2037,-3.3003483529605324
2039,3.3003483529605324
2040,-3.655258364860539
2046,2.649409696711346
2047,-3.0929944643979734
2050,2.894418366798045
2051,-3.61632422874143
2052,3.653594564182358
2053,-3.6285733807585143
2056,1.3522738352525874
2057,-1.342057022195859
2058,3.484127411206567
2059,-3.6351939163822204
2078,1.343512392108562
delta_entropy_ast_edge_file_normalised,"0       0.913581
2      -0.827590
42      0.931125
43     -0.815698
108     0.223193
          ...   
2011   -0.170275
2046    0.263903
2047   -0.261946
2048    0.183144
2053   -0.179454
Name: delta_entropy_ast_edge_file_normalised, Length: 124, dtype: float64"
