,0
commit_date,0.0
commits,0.0
delta_entropy_ast_edge_file_context,319.0
delta_entropy_ast_edge_file_normalised,124.0
delta_entropy_token_file_context,94.0
delta_entropy_token_file_normalised,130.0
delta_entropy_token_no_keywords_file_context,97.0
delta_entropy_token_no_keywords_file_normalised,134.0
delta_entropy_token_no_keywords_no_numbers_file_context,93.0
delta_entropy_token_no_keywords_no_numbers_file_normalised,126.0
number_of_commits,0.0
commit_count,2079.0
delta_entropy_ast_edge_file_context_ratio,0.15343915343915343
delta_entropy_ast_edge_file_normalised_ratio,0.059644059644059645
delta_entropy_token_file_context_ratio,0.04521404521404521
delta_entropy_token_file_normalised_ratio,0.06253006253006253
delta_entropy_token_no_keywords_file_context_ratio,0.046657046657046654
delta_entropy_token_no_keywords_file_normalised_ratio,0.06445406445406446
delta_entropy_token_no_keywords_no_numbers_file_context_ratio,0.044733044733044736
delta_entropy_token_no_keywords_no_numbers_file_normalised_ratio,0.06060606060606061
